question,answer
气体的性质对放电电压的影响,在间隙中加入高电强度气体，可大大提高击穿电压，主要指 一些含卤族元素的强电负性气体，如SF6
提高气体放电电压的措施,a.电极形状的改进b.空间电荷对原电场的畸变作用c.极不均匀场中屏障的采用d.提高气体压力的作用e.高真空f.高电气强度气体SF6的采用
沿面放电的概念,沿着固体介质表面发展的气体放电现象。多发生在绝缘子、套管与空气的分界面上。
提高沿面放电电压的措施,a.屏障b.屏蔽c.表面处理d.应用半导体材料e.阻抗调节
电介质的极化,在电场的作用下，电荷质点会沿电场方向产生有限的位移现象，并产生电矩（偶极矩）。
介电常数,电介质极化的强弱可用介电常数的大小来表示，与电介质分子的极性强弱有关。
极性电介质和非极性电介质,具有极性分子的电介质称为极性电介质。由中性分子构成的电介质。
极化的基本形式,电子式、离子式（不产生能量损失），转向、夹层介质界面极化（有能量损失）
气体的电导,主要来自于外界射线使分子发生电离和强电场作用下气体电子的碰撞电离
液体的电导,离子电导和电泳电导
固体的电导,离子电导和电子电导
电介质的损耗,a.介质损耗针对的是交流电压作用下介质的有功功率损耗 b.介质损耗一般用介损角的正切值来表示
提高液体电介质击穿电压的措施,提高油品质，采用覆盖、绝缘层、极屏障等措施
固体电介质的击穿,电击穿、热击穿、电化学击穿的击穿机理及特点
影响固体电介质击穿电压的主要因素,电压作用时间 温度 电场均匀程度 受潮 累积效应 机械负荷
电气绝缘非破坏性试验中绝缘电阻与吸收比的测量,a.用兆欧表来测量电气设备的绝缘电阻b.吸收比K定义为加压60s时的绝缘电阻与15s时的绝缘电阻比值。c.K恒大于1，且越大表示绝缘性能越好。d.大容量电气设备中，吸收现象延续很长时间，吸收比不能很好地反映绝缘的真实状态，可用极化指数再判断。e.测量绝缘电阻能有效地发现总体绝缘质量欠佳；绝缘受潮；两极间有贯穿性的导电通道；绝缘表面情况不良。
电气绝缘非破坏性试验中泄漏电流的测量,测量泄漏电流从原理上来说，与测量绝缘电阻是相似的，能发现一些尚未完全贯通的集中性缺陷，原因在于a.在试品上的直流电压要比兆欧表的工作电压高得多，故能发现兆欧表所不能发现的某些缺陷.b.加在试品上的直流电压是逐渐增大的，可以在升压过程中监视泄漏电流的增长动向。
介质损耗角正切的测量,a.tanδ能反映绝缘的整体性缺陷(例如全面老化)和小电容试品中的严重局部性缺陷。根据tanδ随电压而变化的曲线，可判断绝缘是否受潮、含有气泡及老化的程度。b.西林电桥法测量的基本原理 
局部放电,高压电气设备的绝缘内部总是存在一些缺陷，如气泡空隙、杂质等。由于这些异物的电导和介电常数不同于绝缘物，故在外加电场作用下，这些异物附近将具有比周围更高的场强，有可能引起该处物质产生电离放电现象，称为局部放电。
绝缘状态的综合判断中有三比较方法，若个别试验项目不合格，达不到规程的要求，可使用三比较方法，据此进行介绍,a.与同类型设备作比较同类型设备在同样条件下所得的试验结果应该大致相同，若差别很大就可能存在问题 b.在同一设备的三相试验结果之间进行比较若有一相结果相差达50%以上，该相很可能存在缺陷 c.与该设备技术档案中的历年试验数据进行比较若性能指标有明显下降情况，即可能出现新的缺陷 
电气绝缘破坏性试验中绝缘的高电压试验,在高压试验室用工频交流高压、直流高压、雷电冲击高压、操作冲击高压等模拟电气设备的绝缘在运行中受到的工作电压，用以考验各种绝缘耐受这些高电压作用的能力。
电气绝缘破坏性试验中绝缘的高电压试验特点,a.具有破坏性试验的性质 b.一般放在非破坏性试验项目合格通过之后进行，以避免或减少不必要的损失。
工频高电压的产生,a.通常采用高压试验变压器或其串级装置来产生。b.对电缆、电容器等电容量较大的被试品，可采用串联谐振回路来获得试验用的工频高电压。c.工频高压装置是高压试验室中最基本的设备，也是产生其他类型高电压的设备基础部件。
高压试验变压器的特点,a.试验变压器本身应有很好的绝缘，但绝缘裕度小，试验过程中要严格限制过电压。b.试验变压器容量一般不大。c.外观上的特点油箱本体不大而其高压套管又长又大。d.试验变压器与连续运行时间不长，发热较轻，因而不需要复杂的冷却系统。 e.漏抗大，短路电流较小，可降低机械强度方面的要求，节省制造费用。
绝缘的工频耐压试验中工频交流耐压试验作用,检验电气设备绝缘强度的最有效和最直接的方法。
绝缘的工频耐压试验中工频耐压试验作用,可用来确定电气设备绝缘耐受电压的水平，判断电气设备能否继续运行，是避免其在运行中发生绝缘事故的重要手段。
绝缘的工频耐压试验中工频耐压试验与作用,对电气设备绝缘施加比工作电压高得多的试验电压，这些试验电压反映了电气设备的绝缘水平。
工频高压试验的实施方法,a.按规定的升压速度提升作用在被测试品TO上的电压，直到等于所需的试验电压U为止，这时开始计算时间。b.为了让有缺陷的试品绝缘来得及发展局部放电或完全击穿，达到U后还要保持一段时间，一般取一分钟。c.如果在此期间没有发现绝缘击穿或局部损伤（可通过声响、分解出气体、冒烟、电压表指针剧烈摆动、电流表指示急剧增大等异常现象作出判断）的情况，即可认为该试品的工频耐压试验合格通过。
直流高电压试验与直流高电压的产生,a.将工频高电压经高压整流器而变换成直流高电压。 b.利用倍压整流原理制成的直流高压串级装置（或称串级直流高压发生器）能产生出更高的直流试验电压
直流高电压试验中若高压静电电压表PV2量程不够怎么办,可改为球隙、高值电阻串接微安表或高阻值直接分压器来测量高压
直流高压试验的特点,最常见的直流高压试验为某些交流电气设备（油纸绝缘高压电缆、电力电容器、旋转电机等）的绝缘预防性试验。
直流高电压试验和交流耐压试验相比主要有以下一些特点,a.只有微安级泄漏电流，试验设备不需要供给试品的电容电流，试验设备的容量较小，b.试验时可同时测量泄漏电流，由所得得“电压－电流”曲线能有效地显示绝缘内部的集中性缺陷或受潮。C.在直流高压下，局部放电较弱，不会加快有采购绝缘材料的分解或老化变质，一定程度具有非破坏性试验的性质。 d. 直流电压下，绝缘内的电压分布由电导决定，因而与交流运行电压下的电压分布不同，所以交流电气设备的绝缘考验不如交流耐压试验那样接近实际。
冲击高电压试验,a.研究电气设备在运行中遭受雷电过电压和操作过电压的作用时的绝缘性能。 b.许多高压试验室中都装设了冲击电压发生器，用来产生试验用的雷电冲击电压波和操作冲击电压波。 c.高压电气设备在出厂试验、型式试验时或大修后都必须进行冲击高压试验。 
标准雷电冲击全波采用的是什么,非周期性双指数波。
使用多级冲击电压发生器的原因,a.单级冲击电压发生器能产生的最高电压一般不超过200～300kV。b.因而采用多级叠加的方法来产生波形和幅值都能满足需要的冲击高电压波。
内绝缘冲击耐压试验,a.电气设备内绝缘的雷电冲击耐压试验采用三次冲击法，即对被试品施加三次正极性和三次负极性雷电冲击试验电压。（1.2/50us全波）。b.对变压器和电抗器类设备的内绝缘，还要进行雷电冲击截波（1.2/2～/2-5us）耐压试验，其对绕组绝缘(特别是纵绝缘)的考验往往更加严格。	
外绝缘冲击耐压试验,a.可采用15次冲击法，即对被测试品施加正、负极性冲击全波试验电压各16次，相邻两次冲击的时间间隔应不小于1min。在每组15次冲击的试验中，如果击穿或闪络的闪数不超过2次，即可认为该外绝缘试验合格。b.内、外绝缘的操作冲击高压试验的方法与雷电冲击全波试验完全相同。
高电压的测量技术实验,a.高电压试验除了要有产生各种试验电压的高压设备，还必须要有能测量这些高电压的仪器和设备。b.电力系统中，广泛应用电压互感器配上低电压表来测量高电压；但此法在试验室中用得很少。试验室条件下广泛应用高压静电电压表、峰值电压表、球隙测压器、高压分压器等仪器测量高电压。c.国标规定，高电压的测量误差一般应控制在±3％以内。 
静电电压表介绍,a.静电电压表测交流时为其电压有效值，测带脉动的直流时近似为其平均值。b.静电电压表不能用于测量冲击电压。c.静电电压表的内阻很高，在测量时几乎不会改变被测试样上的电压。d.大气中工作的高压静电电压表量程上限在50-250kV;SF6气体中可达500-600kV。更高的电压需配合分压器使用
峰值电压表的制成原理通常有两种，分别介绍,一种是利用整流电容电流测量，另一种是利用整流充电电压测量。峰值电压表可分为交流峰值电压表和冲击峰值电压表。
介绍球隙测压器,a.测量球隙由一对相同直径的金属球构成，测量误差2%-3%，满足大多数工程测试的要求。b.当球隙距离d与直径D之比不大时，球隙间的电场为稍不均匀电场，其击穿电压决定于球隙间的距离。c.能直接测量高达数兆伏的各类高电压峰值。
球隙的优点,a.击穿时延小，放电电压分散性小，具有比较稳定的放电电压值和较高的测量精度 b.50%冲击放电电压与静态（交流或直流）放电电压的幅值几乎相等。 c.由于湿度对稍不均匀场的影响较小，可不必对湿度进行校正。
被测电压很高时如何测量,采用高压分压器来分出一小部分电压，然后利用静电电压表、峰值电压表、高压示波器等来测量。
对分压器的技术要求,a.要求分压比具有一定的准确度和稳定性(幅值误差要小);每一个分压器均由高压臂和低压臂组成，在低压臂上得到的就是分给测量仪器的低电压，总电压与该低电压之比称为分压比K。b.分出的电压与被测高电压波形的相似性 (波形畸变要小)。
各类测量方式的应用场合,a.静电电压表可测交流和直流，但不能测冲击电压。b. 峰值电压表可用来测交流电压和冲击电压峰值。c.球隙可用来测高达数兆伏的交流、冲击峰值和直流电压。d.电压特别高时，需配合分压器使用。直流高压测量只能使用电阻分压器。交流和冲击高压可使用电阻、电容和阻容分压器。
过电压的概念,指电力系统中出现的对绝缘有危险的电压升高和电位差升高。
无损耗单导线上的波过程,a.波速和波阻抗的计算公式 b.前行波(反行波)电压、电流之间的关系 c.线路中任意一点的电压(电流)等于前行波电压(电流)和反行波电压(电流)之和。d.波阻抗与电阻的区别
线路末端的折射、反射,a.末端开路反射，在反射波所到之处电压提高1倍，而电流降为0。b.末端短路反射在反射波所到之处电流提高1倍，而电压降为0。c.末端接集中负载时的折反射当R和z1不相等时，来波将在集中负载上发生折反射。
行波通过串联电感和并联电容,a.波通过电感（电容）时的最大陡度公式 b.波穿过电感初瞬，在电感前发生电压正的全反射，使电感前电压提高1倍 c.波旁过电容初瞬，则在电容前发生电压负的全反射，使电容前的电压下降为0 d.由于反射波会使电感前电压提高，可能危及绝缘，所以常用并联电容降低波陡度
波在多导线系统中的传播,a.自波阻抗、互波阻抗的公式 b.多导线中电压、电流之间的关系方程c.耦合系数的重要概念
绕组中的波过程,a.变压器在雷电冲击波作用瞬间，可等值为一个电容，称为入口电容 b.在末端接地的单相绕组中，最大电压将出现在绕组首端附近，其值可达1.4U0 c.在末端不接地的单相绕组中，最大电压将出现在中性点附近，其值可达1.9U0 d.通过在绕组首端部位加一些电容环和电容匝以及增大纵向电容可降低电位梯度 e.三相变压器多相进波时的最大电位（星形接线、三角形接线） f.变压器绕组之间的波过程通过静电耦合和电磁耦合传递 g.旋转电机匝间绝缘上的电压与入侵波陡度成正比
雷电的放电过程,先导放电阶段 主放电阶段 余辉放电阶段
主要的雷电参数,雷电日及雷电小时、地面落雷密度、雷电流幅值、雷电流等值波形及陡度。
雷电过电压的分类,a.直击雷过电压b.感应雷过电压
避雷针防雷原理及保护范围,a.作用是吸引雷电击于自身，并将雷电流迅速泄入大地，从而使被保护物体免遭直接雷击。b.避雷针需有足够截面的接地引下线和良好的接地装置，以便将雷电流安全可靠地引入大地。 c.单根和双根等高避雷针的保护范围
避雷线（地线）防雷原理及保护范围,a.避雷线的防雷原理与避雷针相同，主要用于输电线路的保护，b.可用来保护发电厂和变电所，近年来许多国家采用避雷线保护500kV大型超高压变电所。c.用于输电线路时，避雷线除了防止雷电直击导线外，同时还有分流作用，以减少流经杆塔入地的雷电流从而降低塔顶电位。d.避雷线对导线的耦合作用还可以降低导线上的感应雷过电压。 e.单根及双根避雷线的保护原理
避雷器工作原理及常用种类,a.避雷针(线)不能完全避免设备不受雷击;从输电线路上也可能有危及设备绝缘的过电压波传入发电厂和变电所。b.避雷器实质上是一种过电压限制器，与被保护的电气设备并联连接，当过电压出现并超过避雷器的放电电压时，避雷器先放电，从而限制了过电压的发展，使电气设备免遭过电压损坏。c.避雷器的常用类型有保护间隙、管型避雷器、阀式避雷器和金属氧化物避雷器。
对避雷器的基本要求,a.绝缘强度的合理配合 避雷器与被保护设备的伏秒特性应有合理的配合。在绝缘强度的配合中，要求避雷器的伏秒特性比较平直、分散性小。b.绝缘强度的自恢复能力避雷器一旦在冲击电压作用下放电，就造成对地短路。随之工频短路电流（工频续流）要流过此间隙，避雷器应当具有自行截断工频续流，恢复绝缘强度的能力，使电力系统得以继续正常工作。c.阀型避雷器的保护原理及阀片的作用。d.残压、灭弧电压的重要概念
输电线路落雷次数,每100km线路每年的雷击次数
耐雷水平,雷击线路绝缘不发生闪络的最大雷电流幅值，以kA为单位。
雷击跳闸率,每100km线路每年由雷击引起跳闸次数。这是衡量线路防雷性能的综合指标。
我国110kV及以上线路一般全线都装设避雷线，而35kV及以下线路一般不装设避雷线，中性点直接接地系统有避雷线的线路遭受直击雷一般有三种情况,a.雷击杆塔塔顶；b.雷击避雷线档距中央；c.雷电绕过避雷线击于导线
线路跳闸需满足的条件,a.线路落雷 b.雷电流超过线路耐雷水平，线路绝缘发生冲击闪络，雷电流沿闪络通道流入大地，但作用时间很短，线路开关来不及动作 c.当闪络通道流过的工频短路电流的电弧持续燃烧时，才会跳闸停电
输电线路的防雷保护措施,a.架设避雷线、降低杆塔接地电阻、架设耦合地线、采用不平衡绝缘、装设自动重合闸、采用消弧线圈、装设避雷器、加强绝缘是主要的防雷方式 b. 确定输电线路防雷方式时，还应全面考虑线路综合因素，因地制宜地采取合理的保护措施。 
发电厂、变电所遭受雷害的两个方面,a.雷直击于发电厂、变电所 防护措施是采用避雷针或避雷线 b.雷击输电线后产生的雷电波侵入发电厂、变电所 防护措施是装设避雷器，同时还应限制流过避雷器的雷电流幅值和陡度。
变电所的进线段保护,a.为使变电所内避雷器能可靠地保护电气设备，必须限制流经避雷器的电流幅值不超过5kA（330kV-500kV为10kA）、限制侵入波陡度α不超过一定的允许值。b.35-110kV无避雷线线路，雷击变电所附近导线时，两者都有可能超过。c.进线段保护是指在临近变电所1-2km的一段线路上加强防雷保护措施，从而使避雷器雷电流的幅值和陡度都降低到合理范围内。  35kV及以上变电所的进线段保护
保护角不宜超过多少度,20度
变压器的防雷保护,（1）三绕组变压器的防雷保护（2）自耦变压器的防雷保护（3）变压器中性点的防雷保护
旋转电机的防雷保护特点,a.旋转电机主绝缘的冲击耐压值远低于同级变压器的冲击耐压值 b.运行中的旋转电机主绝缘低于出厂时的核定值 c.保护旋转电机用的磁吹避雷器的保护性能与电机绝缘水平的配合裕度很小（主绝缘）d.由于电机绕组匝间电容较小，匝间承受电压正比于陡度，要求来波陡度较小(匝间绝缘) e.电机绕组中性点一般不接地，三相进波时，中性点电压可达进波电压的两倍(中性点绝缘）
直配电机的防雷措施,a.避雷器保护b.电容器保护c.电缆段保护d.电抗器保护
内部过电压,电力系统中，除了雷电过电压外，还存在由于自己内部原因而引起的过电压，包括稳态过电压和操作过电压
操作过电压,当开关操作或事故状态时引起系统拓扑结构发生改变时，各储能元件的能量重新分配时发生振荡，从而出现的电压升高的现象，持续时间0.1s以内
稳态过电压,由工频电压升高和谐振现象引起，持续时间比操作过电压长得多，有些甚至长期存在
工频过电压的特点,（1)工频电压升高的大小会直接影响操作过电压的实际幅值。操作过电压是叠加在工频电压升高之上的，从而达到很高的幅值。（2）它的大小会影响保护电器的工作条件和保护效果     避雷器的最大允许工作电压是由避雷器安装处工频过电压值来决定的。如工频电压过高，避雷器的最大允许工作电压也越高，避雷器的冲击放电电压和残压也将提高，相应被保护设备的绝缘水平要随之提高（3）持续时间长，对设备绝缘及其运行性能有重大影响，例如引起油纸绝缘内部电离，污秽绝缘子闪络，铁心过热，电晕等
不对称短路引起的工频电压升高的相关概念,a.不对称短路是电力系统中最常见的故障形式，当发生单相或两相对地短路时，健全相上的电压都会升高，其中单相接地引起的电压升高更大一些。b.阀式避雷器的灭弧电压通常也就是根据单相接地时的工频电压升高来选定的。c.单相接地时，故障点各相的电压、电流是不对称的，为了计算健全相上的电压升高，通常采用对称分量法和复合序网进行分析。
从中性点接地的情况分析避雷器的选择,a.对于中性点不接地系统，当单相接地时，健全相的工频电压升高约为线电压的1.1倍。在选择避雷器时，灭弧电压取110%的线电压，称为110%避雷器 b.对中性点经消弧线圈接地系统在过补偿时，单相接地时健全相上电压接近线电压。在选择避雷器灭弧电压时，取100%的线电压，称为100%避雷器 c.对中性点直接接地系统单相故障接地时，健全相电压约为0.8倍线电压。避雷器的最大灭弧电压取为最大线电压的80%，称为80%避雷器
工频电压升高的限制措施,在考虑线路的工频电压升高时，如果同时计及空载线路的电容效应、单相接地及突然甩负荷等三种情况，那么工频电压升高可达到相当大的数值。 实际运行经验表明在一般情况下，220kV及以下的电网中不需要采取特殊措施来限制工频电压升高 
在330～500kV超高压电网中，应采用怎样的措施限制电压,并联电抗器或静止补偿装置等措施，将工频电压升高限制到1.3～1.4倍相电压以下
谐振过电压的分类,(1) 线性谐振电感参数L与电容C、电阻R一样，都是线性参数，不随电流、电压而变化，设计和运行时应设法避开谐振条件(2) 参数谐振电感参数周期性变化，设计时应当避开谐振点(3) 铁磁谐振带铁心电感的饱和现象
切断空载线路过电压相关概念,a.切除空载线路是电网中常见操作之一 b.在切空载线路的过程中，虽然断路器切断的是几十安到几百安的电容电流，比短路电流小的多 c.如果使用的断路器灭弧能力不强，在切断这种电容电流时就可能出现电弧的重燃，从而引起电磁振荡，造成过电压。
限制切除空载线路过电压的最根本措施是什么，还有什么方法,根本措施是设法消除断路器的重燃现象，还有a.采用灭弧性能强的快速动作断路器 b. 利用避雷器保护 c.断路器线路侧接电磁式电压互感器 d线路侧接并联电抗器 并联电抗器与线路电容构成振荡回路，使线路上的残余电压转化为交流电压 e.使用带并联电阻的断路器
空载线路合闸过电压相关概念,a.电力系统中，空载线路合闸过电压也是一种常见的操作过电压。通常分为两种情况，即正常操作和自动重合闸。b.由于初始条件的差别，重合闸过电压的情况更为严重。c.近年来由于采用了种种措施（如采用不重燃断路器、改进变压器铁芯材料等）限制或降低了其他幅值更高的操作过电压，空载线路合闸过电压的问题就显得更加突出。
限制空载线路合闸过电压措施,a.装设并联合闸电阻 b.同步合闸 c.利用避雷器来保护 d.单相重合闸
切除空载变压器过电压相关概念,a.正常运行时，空载变压器表现为一励磁电感。b.切除空载变压器就是开断一个小容量电感负荷，会在变压器和断路器上出现很高的过电压。c.开断并联电抗器、电动机等，也属于切断感性小电流的情况。
切断100A以上的交流电流时，开关触头间的电弧和等值电感中储存的磁场能量情况,开关触头间的电弧通常是在工频电流自然过零时熄灭的，等值电感中储存的磁场能量为零
解释截流现象,当所切除的电流很小时（变压器的空载电流非常小，只有几安到几十安），开关中的去游离作用又很强，电弧往往提前熄灭，亦即电流会在过零之前就被强行切断。出现截流时，等值电感中储存的磁场能量全部转化为电场能量，从而出现很高的过电压
限制切除空载变压器过电压措施,1、采用避雷器保护在断路器的变压器侧装设阀型避雷器，非雷雨季节也不能退出运行。2、装设并联电阻  在断路器的主触头上并联一线性或非线性电阻，其限值应接近于被切电感的工作激磁阻抗（数万欧）。
断续电弧接地过电压概念介绍,中性点不接地电网中的单相接地电流(电容电流)较大，接地点的电弧将不能自熄，而以断续电弧（断续地熄灭和重燃）的形式存在，就会产生另一种严重的操作过电压——断续电弧接地过电压。
断续电弧接地过电压防护措施,1、采用中性点直接接地方式若中性点接地，单相接地故障将在接地点产生很大的短路电流，断路器将跳闸，从而彻底消除电弧接地过电压。目前，110kV及以上电网大多采用中性点直接接地的运行方式。2、采用中性点经消弧线圈接地方式采用中性点直接接地方式能够解决断续电弧问题，但每次发生单相接地故障都会引起断路器频繁跳闸，严重影响供电的连续性。所以，我国35kV及以下电压等级的配电网采用中性点经消弧线圈接地的运行方式。
绝缘配合的概念,根据电气设备在系统中可能承受的各种电压，并考虑过电压的限制措施和设备的绝缘性能后来确定电气设备的绝缘水平，以便把作用于电气设备上的各种电压（正常工作电压及过电压）所引起的绝缘损坏降低到经济上和运行上所能接受的水平。其核心问题为确定设备的绝缘水平。
绝缘水平是什么,设备可以承受（不发生闪络、击穿或其他损坏）的试验电压标准
避雷器对设备的保护可有哪两种方式,（1）避雷器只用作雷电过电压的保护，而不用来保护内部过电压。220kV及以下系统都采用此种方式，内部过电压对正常绝缘无危险（2）避雷器主要于雷电过电压的保护，但也用作内部过电压的后备保护。超高压系统中采用，依靠断路器将内部过电压限制在一定水平。避雷器在内过电压下一般不动作，只有很大时才动作。
线路绝缘子串应满足三方面的要求,a.在工作电压下不发生污闪；b.雨天时在操作过电压下不发生闪络（湿闪）；c.具有一定的雷电冲击耐压强度，保证一定的线路耐雷水平。
绝缘子串中绝缘子片数的确定方法,选工作电压和操作过电压两者要求的大者作为绝缘子的片数，再按雷电过电压的要求进行验算即可
绝缘子串中绝缘子片数的确定中风偏角的影响,就塔头空气间隙上可能出现的电压幅值来看，一般是雷电过电压最高、操作过电压次之、工频工作电压最低。
绝缘子串中绝缘子片数的确定中，哪三种情况下可能出现的风偏角则刚好相反,a.由于工作电压长期作用在导线上，其可能引起的风偏角最大b.雷电过电压持续时间最短，可能出现的风偏角最小c.操作过电压持续时间较短，可能出现风偏角介于以上两者之间
35KV及以下的输电线路为什么一般不采用全线架设避雷线的措施？,35kv及以下电压等级的输电系统一般都为中性点不接地系统，当发生由雷电引起的冲击闪络后，随后出现的工频闪络电流很小，不能形成稳定的工频电弧，因此，不会引起线路跳闸，所以，当一相由于雷击而引起闪络后，仍能正常工作，这样虽不装设避雷线，雷击引起的闪络概率增大，但这种闪络不会导致线路跳闸而影响正常供电。故35kv及以下输电线路一般不架设避雷线，一相闪络后，再出现第二相闪络，形成相间短路，出现打的短路电流，才能引起线路跳闸，只有雷电流很大时才会出现这种情况。
说明变电所进线保护段的作用及对它的要求？,变电所进线保护段的作用有两个其一是限制雷电侵入波电压作用下流过避雷器的电流；其二是降低最终进入变电所雷电侵入波的波头陡度。对进线保护段的要求其应具有比线路更高的耐雷水平，这段线路的避雷线应具有更小的对导线的保护角，而全线无避雷线线路则当然在这段线路上架设避雷线。
避雷针的保护原理,当雷云放电时，使地面电场畸变，在避雷针的顶端形成局部场强集中的空间以影响雷云闪光先导放电的发展方向，使雷闪对避雷针的放电，再经过接地装置将雷电引入大地，从而使被保护物体免遭雷击。
输电线路的防雷措施,架设避雷线、降低塔杆接地电阻、架设耦合地线、采用不平衡绝缘方式、装设自动重合闸、采用消弧线圈接地方式、装设避雷器、加大绝缘。
为什么在低压侧装设避雷器？,为了防止正、反变换过程出现的过电压，应在变压器的低压侧加装一组避雷器，完善变压器的防雷保护。如果只在高压侧装设避雷器，当雷击高压侧线路时，避雷器动作，雷击电流流过接地电阻，并在接地电阻上产生电压降，低压侧此时没有避雷器，这一电压值低于低压侧中性点，而低压侧出现相当于经线路波阻抗接地，这一电压降绝大部分降作用于变压器低压绕组产生电流，通过电磁耦合作用，在高压侧感应出电动势的过程叫做反变换；如果变压器低压侧落雷，作用于低压侧的冲击电压按照变比关系感应到高压侧，使高压绕组上出现过电压，而高压侧的绝缘裕度较低压侧小，可能引起高压侧首先击穿，这个过程叫正变换；
简述绝缘污闪,户外绝缘子在污秽状态下发射管的沿面放电闪络成为绝缘子的污闪。误会绝缘子的闪络往往发生在大气湿度很高等不利的气候条件下，此时闪络电压大大降低，可能在工作电压下发生闪络，从而加剧了事故的严重性。
防止绝缘污闪的措施,清除污秽层、提高绝缘子的表面耐潮性和憎水性、采用半导体釉绝缘子。
什么是介质损耗？为什么能用tanδ代替介质损耗？,在交流电压下，介质的有功功率损耗为介质损耗。当外加电压和频率一定时，P与戒指的物理电容C 成正比，对一定结构的试品而言，电容C 是定值，P与tanδ成正比，故对同类试品绝缘的优劣，可直接用tanδ代替介质损耗。
累积效应,随着施加冲击或工频试验电压次数增多，固体介质的击穿电压降下降的现象，称为累积效应。
非破坏性试验,是指在较低电压下，用不损伤设备绝缘的办法来判断绝缘缺陷的试验；（这类试验对发现缺陷有一定的作用和有效性，但是由于试验电压较低，发现缺陷的灵敏性不高）
破坏性试验,是用较高的电压来考验设备的绝缘水平。易于发现设备的集中性缺陷，考验设备绝缘水平，但由于电压较高，可能给被试品造成损伤。   
接地装置,是包括引线在内的埋设在地中的一个或一组金属体，或由金属导体组成的金属网，其功能是用来泄放故障电流。雷电或其它冲击电流，稳定电位。
气体放电形式,辉光放电、电晕放电、火花放电、刷状放电和电弧放电。
电介质的极化形式,电子式位移极化、离子式位移极化、偶极子极化、空间电荷极化。
气体的放电现象包括,击穿和闪络
绝缘油的气相色谱分析方法,特征气体法、依据气体含量的注意值和产气率、三比值法。
输电线路感应过电压的形式分为,放电起始阶段和主放电。
建弧率是什么,将冲击闪络转化为稳定的工频电弧的概率。
35KV及以下的输电线路为什么一般不采用全线架设避雷线的措施？,35kv及以下电压等级的输电系统一般都为中性点不接地系统，当发生由雷电引起的冲击闪络后，随后出现的工频闪络电流很小，不能形成稳定的工频电弧，因此，不会引起线路跳闸，所以，当一相由于雷击而引起闪络后，仍能正常工作，这样虽不装设避雷线，雷击引起的闪络概率增大，但这种闪络不会导致线路跳闸而影响正常供电。故35kv及以下输电线路一般不架设避雷线，一相闪络后，再出现第二相闪络，形成相间短路，出现打的短路电流，才能引起线路跳闸，只有雷电流很大时才会出现这种情况。
说明变电所进线保护段的作用及对它的要求？,变电所进线保护段的作用有两个其一是限制雷电侵入波电压作用下流过避雷器的电流；其二是降低最终进入变电所雷电侵入波的波头陡度。
对进线保护段的要求,其应具有比线路更高的耐雷水平，这段线路的避雷线应具有更小的对导线的保护角，而全线无避雷线线路则当然在这段线路上架设避雷线。
避雷针的保护原理,当雷云放电时，使地面电场畸变，在避雷针的顶端形成局部场强集中的空间以影响雷云闪光先导放电的发展方向，使雷闪对避雷针的放电，再经过接地装置将雷电引入大地，从而使被保护物体免遭雷击。
输电线路的防雷措施,架设避雷线、降低塔杆接地电阻、架设耦合地线、采用不平衡绝缘方式、装设自动重合闸、采用消弧线圈接地方式、装设避雷器、加大绝缘。
气体放电的主要形式,辉光放电 、 火花放电 、电弧放电 、电晕放电 、刷状放电
