question,A,B,C,D,answer
以下关于逻辑综合的描述，哪些是正确的,逻辑综合的结果是唯一的,逻辑综合技术可分为生成顺序电路和生成组合电路两类,布尔逻辑公式的简化一般与制造工艺无关,同一逻辑可以由多种电路实现，逻辑综合则选择与面积、延迟时间、功耗等要求最接近的电路,B、C、D
以下问题描述中，哪些有可能通过可测性设计发现,制造误差,性能问题,制造故障,功能未满足顾客的需求,A、C
以下关于可测性设计的描述中，哪些是正确的,可测性设计就是在设计阶段考虑测试因素，牺牲一部分芯片面积换得测试的容易化,可测性设计使用自动生成工具（ATPG），易于生成故障覆盖率高的测试模式,可测性设计由于增加了设计负荷，将一定导致芯片整体开发成本的增加,可观察性与可控制性是衡量可测性设计的两个尺度,A、B、D
以下描述与可测性设计的设计制约相关，哪些是正确的,禁止使用循环组合电路,FF的时钟信号必须能够从外部端口直接控制,FF的复位信号必须能够从外部端口直接控制,扫描测试时，RAM和内核需要分开进行设计,A、B、C、D
在以下关于内建自测试法的描述中，哪些是正确的,由于内嵌测试模式发生器，不需要额外生成测试模式,由于只输出GO/NOGO，故障分析很困难,由于内嵌测试输出评估部，不需要高价测试设备，可降低成本,不可用于Burn-In测试,A、B、C
SOC设计采用基于IP分离的可测性设计，具体的实现手段有,Distributed BIST,Direct Access,Test Bus,Boundary Scan,B、C、D
以下时间因素中，会对电路最终的工作频率产生影响的有,clock skew,组合电路的最大延迟,FF的Setup时间,FF的Hold时间,A、B、C、D
以下属于版图设计的验证科目有,DRC,LVS,时序验证,信号完全性,A、B、C、D
在以下关于布局布线算法的描述中，哪些是正确的,是一种高速计算近似值的算法,是在实际可行的时间内计算布局布线最优解的算法,是求局部最优解的算法,为了让近似值接近最优解，有必要改变执行条件（初解、控制参数）多次进行重新计算,A、C、D
在以下关于布局布线的描述中，哪些是正确的,布线分全局布线与详细布线两个阶段，决定布线途径,当某个布线变为不可能时，确定并拆除成为其障碍物的布线群，进行重新布线，使其不再成为其它布线的障碍,基于阶层的布局设计包括自顶向下的布图规划和自下向上的模块布局,自顶向下的布图规划包括对阶层模块进行面积预估、确定aspect比、放置模块及模块间时间制约的分割,A、B、C、D
以下属于光刻工艺的为,光刻胶涂覆,曝光,显影,腐蚀,A、B、C、D
以下为封装外型的为,DIP,QFP,BGA,CSP,A、B、C、D
电力系统的备用容量按其作用可分为( )。 ,负荷备用,事故备用,国民经济备用,检修备用,A、B、C、D
电力系统中的无功电源有( )。 ,静电电容器,同步发电机,静止补偿器,同步调相机,A、B、C、D
变压器的参数是指( )。 ,电阻,电抗,电导,电纳,A、B、C、D
电力网主要设备是( )。 ,发电机,变压器,电力线路,用户,B、C
"无功电源中的备用容量,主要储备于( )。 ",运行的发电机,无功静止补偿装置,运行的调相机,运行的异步电动机,A、B、C
电力系统由( )、用电构成。 ,发电,输电,变电,配电,A、B、C、D
以下属于电力系统包含元件的是( )。 ,汽轮机,水轮机,发电机,电力变压器,C、D
系统内电压大幅度下降的原因有( )。 ,负荷急剧增加,负荷急剧减少,无功电源的突然切除,无功电源的突然投入,A、C
电能生产、输送、消费的特点有( )。 ,与国民经济密切相关,目前电能可以大量储存,生产输送消费具有很强的连续性,电能的生产与消费具有很强的滞后性,A、C
对电力系统的基本要求( )。 ,保证可靠地持续供电,保证良好的电能质量,保证系统运行的经济性,最大限度的满足用电要求,A、B、C、D
零序电压施加在变压器绕组的三角形侧或不接地星形侧时，下列说法正确的是( )。 ,无论另一侧绕组的接线方式如何，变压器中都没有零序电流流通,变压器的零序电抗无穷大,变压器中有零序电流但是很小,变压器的零序阻抗比较小,A、B
中性点运行方式有( )。 ,不接地,直接接地,经电容接地,经阻抗接地,A、B、D
下列影响中性点运行方式选择的有( )。 ,绝缘水平,通信干扰,接地保护,电压等级,A、B、C、D
下列属于对电力系统的大干扰的是( )。 ,负荷的突然变化，如投入和切除大容量的用户等,投入或切除系统的主要元件，如发电机，变压器以及线路等,系统中发生短路故障,小负荷波动,A、B、C
电力系统的接线方式应满足( )。 ,安全,可靠,灵活,经济,A、B、C、D
输电线路的参数指的是( )。 ,电抗,电阻,电纳,电导,A、B、C、D
潮流计算的目的( )。 ,电网规划,设备选择,经济运行,调压计算,A、B、C、D
电力系统频率调整分为( )。 ,一次调频,二次调频,三次调频,四次调频,A、B、C
电压中枢点是指( )。 ,反映系统电压水平的主要发电厂母线,反映系统电压水平的枢纽变电所母线,电机输出线电压,变压器的中性线,A、B
两端电源供电网循环功率的大小取决于( )。 ,负荷功率,两端电源电压差,两端电源之间总电阻,两端电源之间总阻抗,B、D
输电线路等效电路中消耗有功功率的是( )。 ,电抗,电阻,电纳,电导,B、D
零序分量的特点( )。 ,幅值相等,相位相等,相位顺时针相差120度,相位逆时针相差120度,A、B
电压中枢点一般选择为( )。 ,区域性水火电厂的高压母线,枢纽变电站的二次母线,有大量地方性负荷的发电机电压母线,所有发电厂母线,A、B、C
短路故障（简称短路）主要为( )不正常连接。 ,相与相,设备和线路,相与地之间,设备与设备之间,A、C
负序分量的特点( )。 ,幅值相等,相位相等,相位顺时针相差120度,相位逆时针相差120度,A、D
架空线由( )、金具组成。 ,导线,避雷线,杆塔,绝缘子,A、B、C、D
变压器等效电路中无功功率消耗包括( )。 ,串联电阻的损耗,励磁支路电纳损耗,并联电导的损耗,绕组漏抗中无功损耗,B、D
发生短路故障的具体原因( )。 ,鸟兽跨接在裸露的载流部分,雷击过电压,风雪等自然现象,人为误操作引起的故障,A、B、C、D
衡量电能质量的指标有( )。 ,电压,电流,频率,波形,A、C、D
采用分裂导线的主要目的是( )。 ,减小线路电抗,减小电晕损耗,增大线路电阻,提高输电能力,A、B、D
短路故障使电源供电回路( )。 ,回路的总阻抗不变,回路的电流急剧增大,回路的总阻抗减小,回路的电流急剧减小,B、C
在变压器等值参数计算中，短路试验数据求的是( )。 ,电导,电纳,电阻,电抗,C、D
下述情况中，系统能保持暂态稳定的是( )。 ,加速面积大于减速面积,切除角大于极限切除角,加速面积小于最大可能的减速面积,切除角小于极限切除角,C、D
下列属于热备用的有( )。 ,负荷备用,事故备用的一部分,检修备用,国民经济备用,A、B
电压控制的目的包括( )。 ,保持电网枢纽电压水平，保证系统稳定运行,保持供电电压在正常范围内，保证用户的供电质量,减小网络损耗,在偶然事故下快速强行励磁，防止电力系统瓦解,A、B、C、D
目前，我国输电方式有( )。 ,以交流为主,直流输电,灵活交流输电,特高压交流输电,A、B、C、D
计算闭式网中潮流分布的步骤有( )。 ,计算环网中初步功率分布,确定功率分点,在功率分点将闭式网拆开,在开式网中，考虑网损计算潮流分布,A、B、C、D
下列是冷备用的有( )。 ,负荷备用,事故备用的一部分,检修备用,国民经济备用,B、C、D
电压调节的方式可大致分为( )。 ,顺调压,逆调压,负调压,常调压,A、B、D
短路中冲击电流出现的条件是( )。 ,短路点比较靠近电源,短路前空载,电路是纯电感电路,电源电压相角为0度,B、C、D
对称分量法正序分量的特点( )。 ,幅值相等,相位相等,相位顺时针相差120度,相位逆时针相差120度,A、C
电压调整的措施有( )。 ,改变变压器变比调压,改变发电机端电压调压,借补偿设备调压,改变线路的参数调压,A、B、C、D
"一台额定电压13.8kV,额定功率为125 MW，功率因数为0.85的发电机，其电抗标幺值为0.18（以发电机额定电压和功率为基准值），实际值为( )欧姆；若以13.8kV和l00MVA为电压和功率基准值，则电抗标幺值( )。 ",0.233,0.132,0.122,$0.33,A、C
当系统无功功率不足时，可以采用的调压方式有( )。 ,改变变压器变比调压,并联电容器调压,并联调相机,并联静止无功补偿器,B、C、D
改变发电机端电压调压的优点是 ( )。 ,不需要附加设备,可调范围无限,调压手段最直接,简单经济,A、C、D
运用计算机计算电力系统潮流的主要步骤有( )。 ,建立数学模型,确定解算方法,制定计算流程,编制计算程序,A、B、C、D
下列措施能够提高电力系统暂态稳定性的是( )。 ,快速切除故障,采用自动重合闸装置,强行励磁装置和电气制动措施,控制原动机输出的机械功率,A、B、C、D
三绕组变压器的分接头一般安在( )。 ,高压侧,中压侧,低压侧,依据容量情况而定,A、B
冲击电流不会在短路发生后( )处出现。 ,1/2周期,1周期,1/3周期,2周期,B、C、D
变压器的调压方式可分为( )。 ,无载调压,空载调压,有载调压,半载调压,A、C
在下列各种故障类型中，属于横向故障的是( )。 ,两相短路,两相断线,单相接地短路,两相短路接地,A、C、D
短路电流的影响下列说法正确的是( )。 ,短路电流是正常负荷电流的十多倍，产生的热量影响设备,短路还会引起电网中电压降低,电力负荷异步电动机，它的电磁转矩与外施电压的平方成正比，转矩受影响较大,导体也会受到很大的电动力的冲击，致使导体变形，甚至损坏,A、B、C、D
一次调频调整的是( )的负荷变动引起的频率偏移。 ,周期较短,周期较长,幅度较小,幅度较大,A、C
当无功不足时而造成电压偏差过大时，采用的措施有( )。 ,发电机端电压调压,改变变压器分接头,并联补偿装置,改变线路参数,A、C
二次调频调整的是( )的负荷变动引起的频率偏移。 ,周期较短,周期较长,幅度较小,幅度较大,B、D
当无功分布不合理而造成电压偏差过大时，采取的措施有( )。 ,发电机端电压调压,改变变压器分接头,并联补偿装置,改变线路参数,B、D
联合电力系统的优势主要体现在( )。 ,提高供电可靠性和电能质量,可减少系统装机容量，提高设备利用率,便于安装大机组，降低造价,充分利用各种资源，提高运行经济性,A、B、C、D
并联无功补偿可分为( )。 ,并联电容器,并联异步电动机,并联静止补偿器,并联调相机,A、C、D
调频厂应该具有的特点是( )。 ,调整容量足够大,调整速度足够快,调整范围内经济性较好,要有足够的输出能力,A、B、C、D
电能质量包括( )。 ,电压质量,频率质量,电流质量,波形质量,A、B、D
输电线路属于耗能参数的是( )。 ,电阻,电抗,电纳,电导,A、D
下列说法的正确的是( )。 ,系统中发生短路相当于改变了电力系统的结构,系统中发生短路引起系统中功率分布的变化,系统中发生短路时发电机的输入功率立刻变化,系统中发生短路破坏系统的稳定,A、B、D
电力网中可变损耗包括( )。 ,变压器的电阻,输电线路的电阻,变压器的空载损耗,发电机的电阻,A、B
下列( )元件所给出的参数是以本身额定参数为基准值的额定标幺值。 ,线路,发电机,变压器,电抗器,B、C、D
电缆线主要由( )构成。 ,避雷线,绝缘层,导线,保护层,B、C、D
下列故障可能存在零序电流的是( )。 ,三相短路,两相短路,单相短路接地,两相短路接地,C、D
有功电源的最优组合包括( )。 ,机组的最大容量取舍,机组的最优组合顺序,机组的最优组合数量,机组的最优开停时间,B、C、D
输电线路等效电路中消耗无功功率的是( )。 ,电抗,电阻,电纳,电导,A、C
一次调频的特点( )。 ,无差调频,有差调频,通过调频器作用,通过调速器作用,B、D
有功功率流过线路电抗时，产生的是( )。 ,有功损耗,无功损耗,可变损耗,不变损耗,B、C
提高电力系统静态稳定性的措施有( )。 ,提高系统电压,采用自动励磁调节装置,减少元件的电抗,增大元件电抗,A、B、C
以下属于电能的特点有( )。 ,可以方便的转换成其他形式的能量,电能便于生产输送，易于控制,电能便于大量存储,自然界中有丰富的电力资源,A、B、D
在变压器等值参数计算中，空载试验数据求的是( )。 ,电导,电纳,电阻,电抗,A、B
频率变动的影响有( )。 ,电机的转速发生变化，影响产品质量,影响电子设备工作的准确度,增加无功损耗,频率过低，甚至会引起系统瓦解,A、B、C、D
电力系统的扰动可以分为大扰动和小扰动，小扰动是指( )。 ,负荷正常波动,风吹引起相间距离微小变化,变压器分接头调整,汽轮机因蒸汽参数变化而引起的输出功率变化,A、B、C、D
选择主调频电厂的条件( )。 ,足够的调频容量,快速的调整出力,符合安全及经济运行原则,系统有足够的无功功率,A、B、C
电力系统的调压措施主要有( )。 ,采用多台发电机组并列运行,改变变压器的分接头,系统中设置无功补偿装置,增大线路的参数,B、C
电压中枢点的调压方式主要有( )。 ,顺调压,逆调压,恒调压,无极调压,A、B、C
变压器的参数主要有( )。 ,电抗,电阻,电纳,电导,A、B、C、D
提高暂态稳定性的措施主要有( )。 ,快速切除故障,装设自动重合闸,设置开关站,减小原动机的机械功率,A、B、C、D
电力系统中主要的无功电源有( )。 ,并联电容器,并联异步电动机,并联静止补偿器,并联调相机,A、C、D
当系统无功功率不足造成电压偏差过大时，采取的措施有( )。 ,发电机端电压调压,改变变压器分接头,并联补偿装置,改变线路参数,A、C
衡量电能质量的指标包括( )。 ,电压,频率,电流,波形,A、B、D
输电线路通过电流时产生有功损耗参数的是( )。 ,电阻,电抗,电纳,电导,A、D
在变压器等值参数计算中，短路试验数据求的是( )。 ,电导,电纳,电阻,电抗,C、D
架空线路主要由( )构成。 ,避雷线,杆塔,导线,绝缘子,A、B、C、D
下列不属于联合电力系统的优势主要体现在( )。 ,不能提高供电可靠性和电能质量,可减少系统装机容量，提高设备利用率,便于安装大机组，降低造价,不能充分利用各种资源，提高运行经济性,A、D
当系统无功功率不足造成电压偏差过大时，不适合采取的措施有( )。 ,发电机端电压调压,改变变压器分接头,并联补偿装置,改变线路参数,B、D
下列不属于热备用的有( )。 ,负荷备用,事故备用,检修备用,国民经济备用,B、C、D
下列不属于对称分量法正序分量的特点( )。 ,幅值相等,相位相等,相位顺时针相差120度,相位逆时针相差120度,B、D
一端电源供电网的特点( )。 ,接线简单、经济,运行方便、灵活,供电可靠性低,有备用电源,A、B、C
短路产生的主要原因( )。 ,电气设备和载流导体的绝缘损坏,运行人员的误操作,电气设备的机械损伤,鸟兽的跨接,A、B、C、D
常见的短路故障分为( )。 ,三相短路,两相接地短路,两相短路,单相短路,A、B、C、D
电力系统短路故障分析的假设条件有( )。 ,不计发电机之间的摇摆,电力系统为对称系统,不计过度电阻的影响,负荷用负序阻抗表示,A、B、C
发电机组的机械液压调速系统主要由( )组成。 ,调速器,调频器,调压器,励磁机,A、B
并联电容器作为无功电源的特点有( )。 ,装设的容量可大可小,既可以分散安装也可以集中安装,有功损耗小,调节电压不平滑,A、B、C、D
架空线路的结构组成不包括( )。 ,避雷器,保护层,导线,绝缘子,A、B
两端电源供电网供载功率的大小取决于( )。 ,负荷功率,两端电源电压差,两端电源之间总电阻,两端电源之间总阻抗,A、D
下列不属于电力系统基本要求的是( )构成。 ,系统频率恒定,尽量使用水电功率,保证系统的安全可靠供电,保证系统运行的经济性,A、B
同步调相机的特点( )。 ,既可以让电压升高也可以让电压降低,调压平滑,有功损耗大,运行维护比较复杂,A、B、C、D
我们通常所说的调压措施有（）,改变发电机的端电压,调整变压器分接头,改变环网中的无功分布,线路串联电容E、线路并联电抗,A、B、E
电力系统静态稳定的判据为（）,dP/dδ＞0,d△Q/dV＜0,d△P/df＜0,dQ/dV＜0,A、B、C
简单电力系统暂态稳定的判据是（）,按等面积法则,按δc.lim＜180°,按dP/dδ,＞0,A、B、D
目前常用的提高系统静稳定的措施是（）,减少发电机或变压器的电抗,采用自动调节励磁装置,减少线路电抗,线路串联电容补偿E、改善系统结构,B、C、E、F
系统常用于提高暂态稳定的措施有（）,故障快速切除,线路快速重合,强行励磁,快关气门,A、B、C、E、I、J、K
下面所列各种电力网接线方式中，属于有备用接线方式的是( )     ,单回路放射式,环式,双回路干线式,两端电源供电式E   双回路链式,B、C、D、E
关于中性点非有效接地电网的中性点对地电压，下面说法中正确的是( ) ,正常运行情况下为零,单相接地故障时等于相电压,正常运行时为相电压,单相接地故障时为线电压,A、B
关于输电线路的电容参数，下面说法中正确的是( )    ,架空输电线路的电容参数小于同电压等级、同样长度的电缆线路,架空输电线路导线之间的几何均距越大，线路的电容参数越大,架空输电线路导线之间的几何均距越大，线路的电容参数越小,架空输电线路导线的等效半径越大，线路的电容参数越大E   架空输电线路导线的等效半径越大，线路的电容参数越小,A、C、D
同电压等级、同长度的架空输电线路和电缆线路，如果导线的截面积相同，则下述说法中正确的是（ ,架空线路的电抗大于电缆线路的电抗,架空线路的电抗小于电缆线路的电抗,架空线路的电容大于电缆线路的电容,架空线路的电容小于电缆线路的电容E   架空线路的电容、电抗等于电缆线路的电容电抗,A、D
关于变压器的运算负荷，下面说法错误的是( ) ,变压器低压侧负荷功率+变压器阻抗的功率损耗,变压器低压侧负荷功率+变压器导纳的功率损耗,变压器低压侧负荷功率+变压器阻抗的功率损耗+变压器导纳的功率损耗,变压器低压侧负荷功率+变压器阻抗的功率损耗+变压器导纳的功率损耗+变压器所连线路导纳功率消耗的二分之一,A、B、D
高压输电线路首、末端电压之间的关系为U1﹤U2，φ1﹥φ2，在忽略线路电阻的情况下，下述说法错误的是 ,有功功率从首端流向末端，无功功率从末端流向首端,有功功率从末端流向首端，无功功率从首端流向末端,有功功率和无功功率都是从首端流向末端,有功功率和无功功率都是从末端流向首端,B、C、D
高压输电线路首、末端电压之间的关系为U1﹥U2，φ1﹥φ2，在忽略线路电阻的情况下，下述说法错误的是（ ,有功功率从首端流向末端，无功功率从末端流向首端,有功功率从末端流向首端，无功功率从首端流向末端,有功功率和无功功率都是从首端流向末端,有功功率和无功功率都是从末端流向首端,A、C、D
调频厂的基本条件有( ) ,足够的调整容量,足够的调整速度,经济性好,运行稳定性好,A、B、C
下列关于频率调整及负荷的描述正确的有( ) ,一次调频由调速器进行，对第一种负荷波动引起的频率偏移进行的调整,二次调频由调频器进行，对第二种负荷波动引起的频率偏移进行的调整,三次调频是按照最优化原则来分配第三种有规律变化的负荷,以上都不对,A、B、C
电力系统电压调整的方法有( ) ,改变发电机的励磁电流,改变变压器变比,加装无功补偿设备,改变网络参数,A、B、C、D
通过改变网络参数进行电压调整的方法有( ) ,选择合适的导线截面,在母线上并联电容器,改变电力网的接线和运行方式,在线路上串联电容器E  在线路上串联电抗器,A、C、D
关于电力系统的电压调整，下述说法中正确的是( ) ,改变变压器变比调压只能用于无功功率充裕的情况,改变发电机励磁电流可以实现逆调压,改变无励磁调节变压器的变比只能实现顺调压,改变无励磁变压器变比可以实现逆调压E 在无功功率缺乏引起电压水平偏低的电力系统中，应首先增加无功补偿设备,A、B、E
下面所列各种无功补偿设备中，随着电压下降（在规定电压波动范围内）输出无功功率增大的有（ ,并联电容器,调相机,可控硅控制电抗器型（TCR）静止无功功率补偿器,自饱和电抗器型（SR）静止无功功率补偿器E 串联电容器,B、C、D
关于变压器，下述说法中正确的是( ) ,实际生活中由于变压器工作时会发热，因此输入功率大于输出功率,变压器只能降低电压，不能升高电压,变压器原、副线圈两端的电压比与线圈的匝数比成正比，即,如果时，则，这时变压器起降压作用；如果时，则，这时变压器起升压作用,A、C
电力系统等值电路中，所有参数应为归算到同一电压等级（基本级）的参数，关于基本级的选择，下述说法中错误的是( )。 ,必须选择最高电压等级作为基本级；,在没有明确要求的情况下，选择最高电压等级作为基本级；,在没有明确要求的情况下选择最低电压等级作为基本级；,选择发电机电压等级作为基本级。,A、C、D
在多电压等级电磁环网中，改变变压器的变比，下列说法错误的有( ) ,主要改变无功功率分布,主要改变有功功率分布；,改变有功功率分布和无功功率分布,功率分布不变。,B、C、D
可变损耗包括：( )。 ,变压器空载损耗,变压器电阻中的损耗,线路电阻中的损耗,线路电导中的损耗,B、C
初步潮流分布是指( ) ,不计阻抗中的功率损耗,计及阻抗上的功率损耗,不计及导纳中的功率损耗,计及阻抗上的电流损耗,A、C
电压/无功控制是通过调整( )，并满足全网各节点的电压要求，保证全网网损达到最少。 ,发电机及调相机无功出力,各电容器组及电抗器的投切,电阻投入组数,变压器分接头位置,A、B、D
关于各种电压等级在输配电网络中的应用，下述说法中正确的是( )。 ,交流500kv通常用于区域电力系统的输电网络；,交流220kv通常用于地方电力系统的输电网络；,交流35kv及以下电压等级通常用于配电网络；,除10kv电压等级用于配电网络外，10kv以上的电压等级都只能用于输电网络。,A、B、C
计算环形网中潮流分布的步骤有( ) ,计算环网中初步功率分布,找到功率分点,在功率分点将环网打开,用辐射网计算,A、B、C、D
循环功率的大小取决于( ) ,断路器两侧的电流,断路器两侧电压差,环网总电阻,环网总阻抗,B、D
在变压器等值参数计算中，短路试验求的是( ) ,G.T,B.T,R.T,X.T,C、D
超高压架空线路中，采用分裂导线的主要目的是( ) ,减小线路的单位长度电阻,提高线路的耐压水平,减小线路的单位长度电抗,减小线路的电晕放电,C、D
采用标幺值计算时，只需要选择两个电气量的基准值，其他可根据它们的关系导出，通常选用      ( ) ,电压,电流,阻抗,功率,C、D
输电线路等值电路中消耗有功功率的是( ) ,电抗,电阻,电纳,电导,B、D
潮流计算的目的( ) ,电网规划,确定暂态稳定,运行指导,继保整定,A、C
标幺值的优点( ) ,计算结果清晰；,便于判断计算结果正确性；,可大量简化计算；,无量纲，概念不清,A、B、C
下列不是电力系统频率调整措施的是( ) ,根据负荷的变化，调整电力系统中无功电源的出力，将系统频率限制在允许范围；,根据负荷的变化，调整发电机的有功出力，将系统频率限制在允许范围；,根据系统频率的变化，切除或投入负荷，将电力系统频率限制在允许范围；,根据负荷的变化调整系统中变压器的分接头，将电力系统频率限制在允许范围。,A、D
下面所列的电力系统负荷波动中，不可以预测的是( ) ,由用电设备的投入和退出运行所引起的第一类负荷变化；,由大容量的用电设备投入或退出所引起的第二类负荷变化；,由生产、生活规律和气象条件变化所引起的第三类负荷变化；,第一类和第二类负荷变化。,A、B、D
系统的单位调节功率的含义是( )。 ,随着系统频率升高，系统负荷的增加量,随着频率降低，系统负荷的增加量,随着频率升高，系统负荷减少的量,随着频率降低，系统负荷减少的量,B、C
关于发电机组耗量特性，说法错误的是( ) ,耗量特性是指发电机组消耗的能源与有功功率的关系,在工程实际计算中，常用二次曲线来表示耗量特性,耗量特性曲线上任一点切线的斜率称为耗量微增率,耗量特性曲线上任一点与原点连线的斜率称为耗量微增率,A、D
电力系统中的无功功率负荷有( )  ,异步电动机,同步调相机,变压器,输电线路,A、C、D
静电电容器是电力系统中广为使用的一种无功补偿装置，其优点是( ) ,既可以集中安装，也可以分散安装,运行维护方便，有功损耗小,投资造价低,无功调节性能好，可以实现无级调压,A、B、C
三绕组变压器分接头设置在( ) ,高压绕组,中压绕组,低压绕组     Ｄ.高、中、低压绕组,以上都不对,A、B
限制电压波动的技术措施有( )。 ,大容量变电所专线供电,设置并联电抗器,设置调相机,设置静止补偿器,A、C、D
