下列试验中，属于破坏性试验的是（）。,绝缘电阻试验,冲击耐压试验,直流耐压试验,局部放电试验,B
输电线路的波阻抗的大小与线路的长度（）。,成正比,成反比,无关,不确定,C
下列不属于输电线路防雷措施的是（）。,架设避雷线,架设耦合地线,加设浪涌吸收器,装设自动重合闸,C
二极管峰值包络检波器适用于哪种调幅波的解调()单边带调幅波,抑制载波双边带调幅波,普通调幅波,残留边带调幅波,C
负峰切割失真主要是由于（）造成的。,信号调制度太小,检波器RC时间常数太大,检波器交、直流负载不同,检波二极管选择不当,C
为提高振荡频率的稳定度，高频正弦波振荡器一般选用（）。,LC正弦波振荡器,晶体振荡器,RC正弦波振荡器,改进电容振荡器,B
变容二极管调频器实现线性调频的条件是变容二极管的结电容变化指数γ（）为,1/3,1/2,2,4,C
峰值包络检波器在解调高频等幅波时，其低通滤波器的输出电压为（）。,正弦波电压,直流电压,余弦脉冲,零电压,B
当AM波信号较大时，检波电路可以选用 （ ）。,乘积型同步检波器,叠加型同步检波器,二极管峰值包络检波器,平均值包络检波器,A
设石英振荡器的振荡频率介于串联谐振频率与并联谐振频率之间时，石英晶体的 （ ）。,等效阻抗为0,等效阻抗无穷大,等效阻抗成感性,等效阻抗成容性,C
MC1596集成模拟乘法器不可以用作（  ）,混频,振幅调制,调幅波的解调,频率调制,D
根据调频波的特性，当单音频调制信号的振幅和频率均增大一倍时，则调频波的有效带宽将（）。,减小一倍,增大一倍,不变,增大两倍,B
多级单调谐小信号放大器级联，将使（ ）。,总增益减小，总通频带增大,总增益增大，总通频带减小,总增益增大，总通频带增大,总增益减小，总通频带减小,B
某单频调制的普通调幅波的最大振幅为10v，最小振幅为6v，则调幅系数为（ ）,0.6,0.4,0.25,0.1,C
若要产生稳定的正弦波振荡，要求反馈型振荡器必须满足()。,平衡条件,起振条件和平衡条件,相位条件和幅度条件,起振条件、平衡条件和稳定条件,D
SSB信号的检波可采用（ ）,小信号检波,大信号检波,同步检波,以上三种均可,D
满足三端式振荡器相位条件的晶体管各电极连接原则是（ ）。,“射”同“余”异,“射” 异“余” 同,“集”同“余”异,“基” 同“余”异,A
调幅、检波和混频电路的实质都是（）。,频谱的非线性搬移,频谱的线性搬移,相位变换,以上三种均可,B  
二极管峰值包络检波器，原电路正常工作。若负载电阻加倍，会引起（）,惰性失真,底部切割失真,惰性失真和底部切割失真,频率失真,A
调幅接收机采用AFC电路的作用（ ）。,稳定中频输出,稳定输出电压,稳定VCO,改善解调质量,A
某丙类谐振功率放大器工作在临界状态，若保持其它参数不变，将集电极直流电源电压增大，则放大器的工作状态将变为 （ ）,过压,弱过压,临界,欠压,D
下列哪种信号携带有调制信号的信息（）,载波信号,本振信号,已调波信号,调整信息,C
小信号谐振放大器的主要技术指标不包含（ ）,谐振电压增益,失真系数,通频带,选择性,B
丙类谐振功放其谐振回路调谐于（ ）分量,基波,二次谐波,其它高次谐波,直流分量,A
并联型石英晶振中，石英谐振器相当于（ ）元件,电容,电阻,电感,短路线,C
要实现集电极调制特性应使功放工作在（ ）状态,欠压状态,过压状态,临界状态,任意状态,B
自动增益控制可简称为（  ）,MGC,AGC,AFC,PLL,B
利用非线性器件相乘作用来实现频率变换其有用项为（） ,一次方项,二次方项,高次方项,全部项,B
在大信号包络检波器中，由于检波电容放电时间过长而引起的失真是（）,频率失真,惰性失真,负峰切割失真,截止失真,B
下列不属于小信号谐振放大器的技术指标是（ ）,电压增益,通频带,非线性失真系数,选择性,C
某调幅广播电台的音频调制信号频率 100Hz～8KHz ，则已调波的带宽为（ ）,16KHz,200KHz,4KHz,8KHz,A
对于同步检波器，同步电压与载波信号的关系是（  ）,同频不同相,同相不同频,同频同相,不同频不同相,C
串联型石英晶振中，石英谐振器相当于（ ）元件,电容,电阻,电感,短路线,D
下列电路不属于频谱搬移电路的是（）,调幅电路,调频电路,检波电路,变频电路,B
影响丙类谐振功率放大器性能的主要参数不包括（ ）,VCC,VBB,Ubm,Ri,D
在大信号峰值包络检波器中，由于检波电容放电时间过长而引起的失真是（） ,频率失真,惰性失真,负峰切割失真,截止失真,B
要求本振信号功率大，相互影响小，放大倍数大，宜采用（ ）混频电路,基极输入，发射极注入,基极输入，基极注入,发射极输入，基极注入,发射极输入，发射极注入,A
在调谐放大器的 LC 回路两端并上一个电阻 R，可以 （ ）,提高回路的 Q 值,提高谐振频率,加宽通频带,减小通频带,C
在自激振荡电路中，下列哪种说法是正确的 （ ）,LC 振荡器、 RC 振荡器一定产生正弦波,石英晶体振荡器不能产生正弦波,电感三点式振荡器产生的正弦波失真较大,电容三点式振荡器的振荡频率做不高,C
功率放大电路根据以下哪种说法可分为甲类、甲乙类、乙类、丙类等 （ ）,电路特点,功率放大倍数,电流大小,功放管静态工作点选择情况,D
用万用表欧姆档测量小功率三极管的电极时，应该把欧姆档拨到 （ ）,R×100 或 R×1k 档,R× 1 档,R×10 档,R×10k 档,A
MC1596 集成模拟乘法器不可以用作 （）,振幅调制,调幅波的解调,频率调制,混频,C
某超外差接收机的中频为 465kHz，当接收 931kHz 的信号时，还收到 1kHz 的干扰信号，此干扰为 （ ）,干扰哨声,中频干扰,镜像干扰,交调干扰,A
混频电路又称变频电路，在变频过程中以下正确叙述是 （）,信号的频谱结构发生变化,信号的调制类型发生变化,信号的载频发生变化,以上都不对,C
AGC 电路的作用是 （ ）,维持工作频率稳定,消除频率误差,使输出信号幅度保持恒定或仅在很小的范围内变化,提高效率,C
同步检波器要求接收端载波与发端载波 （ ）,频率相同、幅度相同,相位相同、幅度相同,频率相同、相位相同,频率相同、相位相同、幅度相同,C
属于频谱的线性搬移过程的有 （）,振幅调制,频率调制,相位调制,角度解调,A
二极管峰值包络检波器适用于哪种调幅波的解调 （ ）,单边带调幅波,抑制载波双边带调幅波,普通调幅波,残留边带调幅波,C
欲提高功率放大器的效率，应使放大器的工作状态为 （ ）,甲类,乙类,甲乙类,丙类,D
为提高振荡频率的稳定度，高频正弦波振荡器一般选用 （）,LC 正弦波振荡器,晶体振荡器,RC 正弦波振荡器,石英振荡器,B
变容二极管调频器实现线性调频的条件是变容二极管的结电容变化指数 γ为 （ ）,1/3,1/2,2,4,C
某超外差接收机的中频为 465kHz，当接收 550kHz 的信号时，还收到 1480kHz 的干扰信号，此干扰为 （ ）,干扰哨声,中频干扰,镜像干扰,交调干扰,C
某调频波，其调制信号频率 F＝1kHz ，载波频率为10.7MHz ，最大频偏 Δfm ＝10kHz，若调制信号的振幅不变，频率加倍，则此时调频波的频带宽度为（）,12kHz,24kHz,20kHz,40kHz,B
MC1596 集成模拟乘法器不可以用作 （ ）,混频,振幅调制,调幅波的解调,频率调制,D
某单频调制的普通调幅波的最大振幅为 10v，最小振幅为6v，则调幅系数 ma 为（）,0.6,0.4,0.25,0.1,C
以下几种混频器电路中，输出信号频谱最纯净的是 （ ）,二极管混频器,三极管混频器,模拟乘法器混频器,模拟加法混频器,C
某丙类谐振功率放大器工作在临界状态，若保持其它参数不变，将集电极直流电源电压增大，则放大器的工作状态将变为（）,过压,弱过压,临界,欠压,D
鉴频的描述是 （ ）,调幅信号的解调,调频信号的解调,调相信号的解调,调整信号的解调,B
利用石英晶体的电抗频率特性构成的振荡器是 （）,f＝fs 时，石英晶体呈感性，可构成串联型晶体振荡器,f＝fs 时，石英晶体呈阻性，可构成串联型晶体振荡器,fs<f<fp 时，石英晶体呈阻性，可构成串联型晶体振荡器,fs<f<fp 时，石英晶体呈感性，可构成串联型晶体振荡器,B
二极管峰值包络检波器，原电路正常工作。若负载电阻加倍，会引起（ ）,惰性失真,底部切割失真,惰性失真和底部切割失真,线性失真,A
当两个频率不同的单频信号送入非线性器件， 产生的组合频率最少的器件是 （ ）,极管,三极管,场效应管,二极管,C
利用高频功率放大器的集电极调制特性完成功放和振幅调制， 功率放大器的工作状态应选 （ ）,欠压,临界,过压,超压,C
正弦振荡器中选频网络的作用是 （ ）,产生单一频率的正弦波,提高输出信号的振幅,保证电路起振,提高效率,A
石英晶体谐振于 fs 时，相当于 LC 回路的 （ ）,串联谐振现象,并联谐振现象,自激现象, 失谐现象,A
利用非线性器件相乘作用来实现频率变换时，其有用项为（）,一次方项,二次方项,高次方项,全部项,B
某超外差接收机的中频 fI ＝465kHz ，输入信号载频 fc＝ 810kHz ，则镜像干扰频率为（ ）,465kHz,2085kHz,1740kHz,1000khz,C
混频器与变频器的区别 （ ）,混频器包括了本振电路,变频器包括了本振电路,两个都包括了本振电路,两个均不包括本振电路,B
直接调频与间接调频相比，以下说法正确的是 （ ）,直接调频频偏较大，中心频率稳定 B．间接调频频偏较大，中心频率不稳定,直接调频频偏较大，中心频率不稳定,间接调频频偏较大，中心频率稳定,都不稳定,C
某超外差接收机接收 930kHz 的信号时，可收到 690kHz 和 810kHz 信号，但不能单独收到其中一个台的信号，此干扰为（ ）,干扰哨声,互调干扰,镜像干扰,交调干扰,D
正弦波振荡器中正反馈网络的作用是 （ ）,保证产生自激振荡的相位条件,提高放大器的放大倍数，使输出信号足够大,产生单一频率的正弦波,提高效率,A
电容三点式 LC 正弦波振荡器与电感三点式 LC 正弦波振荡器比较，优点是 （）,电路组成简单,输出波形好,容易调节振荡频率,频率稳定度高,B
高频功率放大器放大 AM 信号时，工作状态应选 （）,欠压,临界,过压,超压,A
高频小信号调谐放大器主要工作在 （ ）,甲类,乙类,甲乙类,丙类,A
调制的描述 （）,用载波信号去控制调制信号的某一个参数，使该参数按特定的规律发生变化。,用调制信号去控制载波信号的某一个参数，使该参数按特定的规律发生变化。,用调制信号去控制载波信号的某一个参数，使该参数随调制信号的规律发生变化,恒定不变,C
在波形上它的包络与调制信号形状完全相同的是（）,AM,DSB,SSB,VSB,A
自动增益控制简称 （ ）,AGC,AFC,APC,EDA,A
调幅波的信息包含在它的 （ ）,频率变化之中,幅度变化之中,相位变化之中,周期变化之中,B
调频收音机中频信号频率为 （ ）,465kHz,10.7MHz,38MHz,不能确定,B
在高频放大器中， 多用调谐回路作为负载， 其作用不包括 （）,选出有用频率,滤除谐波成分,阻抗匹配,产生新的频率成分,D
惰性失真和负峰切割失真是下列哪种检波器特有的失真 （ ）,小信号平方律检波器,大信号包络检波器,同步检波器,异步检测器,B
下列不属于单调谐放大器主要技术指标的是 ( ) ,谐振电压增益,通频带,选择性,纹波系数,D
高频功率放大器主要工作在 （）,甲类,乙类,甲乙类,丙类,D
属于频谱的非线性搬移过程的有 （ ）,频率调制,调幅波的解调,混频,振幅调制,A
放大器的噪声系数NF是指（  ）,输入端的信噪比 /输出端的信噪比,输出端的信噪比 /输入端的信噪比,输入端的噪声功率 /输出端的噪声功率,输出端的噪声功率 /输入端的噪声功率,A
混频器与变频器的区别 （ ）,混频器包括了本振电路,变频器包括了本振电路,两个都包括了本振电路,两个均不包括本振电路,B
一同步检波器，输入信号为 uS =UScos（ωC＋Ω）t，恢复载波 ur =Urcos（ωC t＋ φ），输出信号将产生 （ ）,振幅失真,频率失真,相位失真,无失真,C
某超外差接收机的中频为 465kHz，当接收 550kHz 的信号时，还收到 1480kHz 的干扰信号，此干扰为 （  ）,干扰哨声,中频干扰,镜像干扰,交调干扰,C
直接调频与间接调频相比，以下说法正确的是 （ ）,直接调频频偏较大，中心频率稳定,直接调频频偏较大，中心频率不稳定,间接调频频偏较大，中心频率不稳定,间接调频频偏较大，中心频率稳定,B
关于间接调频方法的描述，正确的是 （ ）,先对调制信号微分，再加到调相器对载波信号调相，从而完成调频,先对调制信号积分，再加到调相器对载波信号调相，从而完成调频,先对载波信号微分，再加到调相器对调制信号调相，从而完成调频,载波信号积分，再加到调相器对调制信号调相，从而完成调频,B
锁相环路的组成不包括以下哪个部分 （）,鉴相器,环路滤波器,压控振荡器,鉴频器,D
二极管峰值包络检波器适用于哪种调幅波的解调 （）,单边带调幅波,抑制载波双边带调幅波,普通调幅波,残留边带调幅波,C
调频收音机中频信号频率为 （ ）,465kHz,10.7MHz,38MHz,不能确定,A
在高频放大器中，多用调谐回路作为负载，其作用不包括 （）,选出有用频率,滤除谐波成分,阻抗匹配,产生新的频率成分,D
振荡器与放大器的区别是 （ ）,振荡器比放大器电源电压高,振荡器比放大器失真小,振荡器无需外加激励信号，放大器需要外加激励信号,振荡器需要外加激励信号，放大器无需外加激励信号,C
丙类高频功率放大器的通角 （ ),θ＝180°,90°＜ θ ＜180°,θ ＝90°,θ＜90°,D
谐振功率放大器输入激励为余弦波， 放大器工作在临界状态时， 集电极电流为 （）,余弦波,尖顶余弦脉冲波,有凹陷余弦脉冲波,三角波,B
调幅收音机中频信号频率为 （）,465kHz,10.7MHz,38MHz,不能确定,A
自动频率控制简称 （ ）,AGC,AFC,APC,PLL,B
锁相环路电路的作用是 （）,维持工作频率稳定,实现无频率误差的频率跟踪,维持放大器增益稳定,使输出信号幅度保持恒定或仅在很小的范围内变化,B
要观察调谐放大器的谐振曲线，需要用到以下哪个仪器 （ ）,示波器,频率计,高频信号发生器,扫频仪,D
频率在 1.5—30MHz 范围的短波主要依靠（）方式传播。,沿地面传播,沿空间直线传播,依靠电离层传播,自由运动,C
在实际振荡器中，有时会出现不连续的振荡波形，这说明振荡器产生了周期性的起振和停振现象，这种现象称为（）。,频率占据,间歇振荡,寄生振荡,振荡调整,B
集成模拟相乘器是（）集成器件。,线性,非线性,功率,效率,B
欲提高高频功率放大器的效率，应使放大器的工作状态为（）,甲类,乙类,甲乙类,丙类,D
混频器干扰哨声的产生是由于（）,混频器前端电路的选择性不好,外来干扰信号与本振的组合干扰,外来干扰信号与有用信号的组合干扰,混频器的非理想相乘特性产生的有用信号与本振的自身组合干扰,D
调频波的特点是（ ）,载波频率随调制信号的大小而变化,载波频率随调制信号的频率而变化,载波幅度随调制信号的频率而变化,载波的附加相移随调制信号频率而变化,A
某广播接收机收听930kHz 电台的广播时，还可以同时收到690kHz 和 810kHz 电台的干扰声，但不能单独收到其中的一个台，此干扰属于（ C ）,干扰哨声,镜像干扰,交调干扰,互调干扰,C
以下几种混频器电路中，输出电流频谱最纯净的是（ ）,模拟乘法器混频器,三极管混频器,场效应管混频器,二极管混频器,A
某调频波，若调制信号的振幅不变，调制频率增大一倍，则调频波的最大频偏Df m （  ）,增大一倍,减小一倍,增大 2 倍,保持不变,D
某调频波的载频fc=83.75MHz，最大频偏Dfm =50kHz，最高调制频率Fmax=15kHz，则此调频波占据的频带宽度是（ ）,30kHz,65kHz,100kHz,．130kHz,D
通信系统中，信号需要调制的原因为（）。,要发射的信号频率低,为了实现信道复用,减小发射天线尺寸,以上都是,D
高频谐振功率放大器的负载谐振电阻Rp 由小变大，则放大器工作状态的变化趋势（其他条件不变）为（ ）。,甲类→乙类→丙类,欠压→临界→过压,过压→临界→欠压,丙类→乙类→甲类,B
在超外差式接收机中，解决镜像干扰的有效方法是（ ），采用组合频率少的混频器电路形式,选用低噪声器件,提高混频器之前电路的频率选择性,采用稳压电路,C
在超外差式接收机中，解决组合频率干扰的有效方法是（  ）。,采用组合频率少的混频器电路形式,选用低噪声器件,提高混频器之前电路的频率选择性,采用稳压电路,A
两个点电荷之间的作用力大小与两点电荷电量之积成 ( )关系。,正比,反比,平方正比,平方反比,A
导体在静电平衡下，其内部电场强度 ( ) ,为常数,为零,不为零,不确定,B
静电场 E 沿闭合曲线的线积分为（ ）,常数,零,不为零,不确定,B
在理想的导体表面，电力线与导体表面成（ ）关系。,垂直,平行,为零,不确定,A
在两种理想介质分界面上，电位移矢量 D 的法向分量在通过界面时应（ ）,连续,不连续,等于分界面上的自由面电荷密度,等于零,C
真空中磁导率的数值为 ( ) ,4π×10-5H/m,4π×10-6H/m,4π×10-7H/m,4π×10-8H/m,C
在恒定电流的情况下，虽然带电粒子不断地运动，可导电媒质内的电荷分布（）,随时间变化,不随时间变化,为零,不确定,B
磁感应强度 B 穿过任意闭曲面的通量为 ( ) ,常数,零,不为零,不确定,B
在磁介质中，通过一回路的磁链与该回路电流之比值为（ ）,磁导率,互感,磁通,自感,D
在磁介质中，通过一回路的磁链与产生磁链的另外回路电流之比值为（ ）,磁导率,互感,磁通,自感,B
要在导电媒质中维持一个恒定电场，由任一闭合面流出的传导电流应为（ ）,大于零 ,零,小于零,不确定,B
在三相四线制供电线路中，三相负载越接近对称负载，中线上的电流（ ）, 越小,越大,不变 ,无法确定, A
静电场是（ ）。,无散场,漩涡场,无旋场,既是有散场又是漩涡场,C
导体在静电平衡下，其内部电场强度（ ）。 ,为零 ,为常数,不为零,不确定, A
静电场中，点电荷所产生的电场强度的大小与场点到点电荷的距离大小（ ） ,成正比,成反比,平方成正比,平方成反比,D
小电流接地电网中线路电流保护常用（ ）接线方式。,两相不完全星形,三相完全星形,两相电流差,单相式,A
变压器重瓦斯保护动作时将（ ） ,延时动作于跳闸 ,跳开变压器各侧断路器,跳开变压器负荷侧断路器,不确定,B
为了保护本线路的全长，限时电流速断保护的灵敏系数计算为（ ） ,最小运行方式下本线路末端两相短路电流与动作电流之比。,最大运行方式下本线路末端两相短路电流与动作电流之比。,最小运行方式下本线路末端三相短路电流与动作电流之比。 ,最大运行方式下本线路末端三相短路电流与动作电流之比,A
距离保护中的阻抗继电器，需要采用记忆回路和引入第三相电压的是（ ）,全阻抗继电器,方向阻抗继电器,偏移特性的阻抗继电器,上抛圆阻抗继电器,B
在给方向阻抗继电器接入电流、电压时，一定要注意不要接错极性，如果接错极性，就会出现 （ ）的后果。 ,拒动,误动,正方向故障拒动或反方向误动,损坏,C
继电保护反映电力系统元件和电气设备的（ ），根据运行维护条件和设备的承受能力，自动发 出信号，减负荷或延时跳闸。,故障,正常运行状态,异常运行状态,完好状态,C
短路电流最大的短路类型一般为：（ ）,单相短路,两相短路,两相短路接地,三相短路,D
一个半断路器接线，特别适用于（ ）及以上的超高压、大容量系统中。,110kV,.220kV,330kV,500kV,C
正常运行的发电机在调整有功负荷时，对发电机无功负荷（ ）。,没有影响,有一定影响,影响很大,不确定,B 
并列运行的发电机间在小干扰下发生的频率为（ ）范围内的持续振荡现象叫低频振荡。,0.02～0.2Hz,0.2～2.5Hz,2.5～5Hz,5～10Hz,B 
适时引入1000kV特高压输电，可为直流多馈入的受端电网提供坚强的（ ）支撑，有利于从根本上解决500kV短路电流超标和输电能力低的问题。,电压和有功,电压和无功,频率和有功,电压和频率,B 
大功率直流输电，当发生直流系统闭锁时，两端交流系统将承受大的（ ）。,频率波动,功率冲击,电压波动,负荷波动,B
利用特高压输电技术，实现远距离、大规模的电力输送，有利于减少电力损耗、节约土地资源、保护环境、节约投资，促进我国（）基地的集约化开发。,大电网、大机组、大用户,大煤电、大水电、大核电,大电网、大火电、大水电,大能源、大容量、大用户,B
十进制数 53 转换成八进制数应为（ ）。,64,65,66,110101,B
将十进制数(18)10 转换成八进制数是（）。,20,22,21,23,B
十进制数 53 转换成八进制数应为（ ）。62,63,64,65,D
当逻辑函数有 n 个变量时，共有（）种取值组合。n,2n,n^2,2n,D
为了避免干扰，MOS 与门的多余输入端不能（）处理。,悬空,接低电平,与有用输入端并接,以上都不正确,A
以下电路中可以实现“线与”功能的有（ ）。,TTL 与非门,TTL 或非门,OC 门,TTL 异或门,C
用异或门实现反相功能，多余输入端应接（）。,地,高电平,低电平,以上都不正确,B
一片64k×8存储容量的只读存储器（ROM），有（ ）。,64条地址线和8条数据线,64条地址线和16条数据线,16条地址线和8条数据线,16条地址线和16条数据线,C
16个触发器构成计数器，该计数器可能的最大计数模值是 （ ）。,16,32,16^2,2^16,D
一个64选1的数据选择器有（ ）个选择控制信号输入端。,6,16,32,64,A
芯片74LS04中，LS表示：（ ）。,高速COMS,低功耗肖特基,低速肖特基,低密度高速,B
使用 TTL 集成门电路时，为实现总线系统应该选用（ ）门电路。,集电极开路 TTL 与非门,三态输出门,TTL 或非门,OD 门,B
对于含有约束项的逻辑函数，用卡诺图化简时，任意项（ ）处理。,必须当作 0,必须当作 1,方便化简时当作 1，不方便化简时当作 0,以上都不正确,C
用全加器将 8421BCD 码转换成余 3BCD 码时，其中固定的一个输入端应接（ ）。,0011,1100,1101,1000,A
数-1101111的反码是（）。,01010000,10010000,11010000,10011100,B
用取样法消除两级与非门电路中可能出现的冒险，以下说法哪一种是正确并优先考虑的（）。,在输出级加正取样脉冲,在输入级加正取样脉冲,在输出级加负取样脉冲,在输入级加负取样脉冲,A
当多个输入变量发生变化时，常常会发生（）。,静态险象,动态险象,函数险象,逻辑险象,D
当三极管输出电平接近于零，三极管的基极电流与深饱和时候的基极电流的关系是（）。,大于,小于,相等,没有关系,A
三极管工作在深饱和状态，以使输出电平接近于零，输入为（）。,低电平,高电平,与输入电平无关,以上说法都不对,B
除去有高、低电平两种输出状态外，三态门的第三态输出是（）状态。,高阻,低阻,电源,以上说法都不对,A
摩尔型时序逻辑电路的输出是（）。,只与输入有关,只与电路当前状态有关,与输入和电路当前状态均有关,与输入和电路当前状态均无关,B
一组合逻辑电路逻辑函数式为 Y=AB+BC+CA，则电路功能为（）。,比较器,编码器,加法器,表决器,D
对于 JK 触发器，无论其原处何态，只要（）相同，则所需激励相同。,现态,次态,输入,输出,B
米里型时序逻辑电路的输出是（）。,只与输入有关,只与电路当前状态有关,与输入和电路当前状态均有关,与输入和电路当前状态均无关,C
下列不属于时序逻辑电路的是（）。,全加器,计数器,触发器,锁存器,A
同一时序逻辑，不同状态设置方案所得原始状态图中状态数之所以不同是因为（）的设计结果中存在着多余状态。,状态数目较多,状态数目较少,与状态数目较无关,以上都不对,A
对于 D 触发器，无论其原处何态，只要（）相同，则所需激励相同。,现态,次态,输入,输出,B
四个触发器组成的环形计数器最多有（）个有效状态。,4,6,8,16,D
MOSFET的温度特性体现为,温度升高，载流子迁移率升高，跨导升高，阀值电压升高,温度升高，载流子迁移率升高，跨导下降，阀值电压下降,温度升高，载流子迁移率下降，跨导下降，阀值电压升高,温度升高，载流子迁移率下降，跨导下降，阀值电压下降,D
以下描述比较不同抽象度设计的仿真速度，哪些是正确的,算法级>门级>RTL级,RTL级>门级>算法级,门级>算法级>RTL级,算法级>RTL级>门级,D
导体的静电平衡条件归结为以下几条，其中错误的是,导体内部不带电，电荷只能分布于导体表面,导体内部电场为零,导体表面电场线沿切线方向,整个导体的电势相等,C
对于均匀带电的球体，有,电偶极矩不为零，电四极矩也不为零,电偶极矩为零，电四极矩不为零,电偶极矩为零，电四极矩也为零,电偶极矩不为零，电四极矩为零,C
对于均匀带电的长形旋转椭球体，有,电偶极矩不为零，电四极矩也不为零,电偶极矩为零，电四极矩不为零,电偶极矩为零，电四极矩也为零,电偶极矩不为零，电四极矩为零,B
对于均匀带电的立方体，有,电偶极矩不为零，电四极矩也不为零,电偶极矩为零，电四极矩不为零,电偶极矩为零，电四极矩也为零,电偶极矩不为零，电四极矩为零,C
电四极矩有几个独立分量,9个,6个,5个,4个,C
关于全反射下列说法正确的是,折射波的平均能流密度为零,折射波的瞬时能流密度为零,反射波与入射波的瞬时能流密度相等,射波与入射波的平均能流密度相等,D
有关复电容率$\varepsilon^{\prime}=\varepsilon+i \frac{\sigma}{\omega}$的描述正确的是,$\varepsilon$代表位移电流的贡献，它能引起电磁波功率的耗散,$\varepsilon$代表传导电流的贡献，它能引起电磁波功率的耗散,$\frac{\sigma}{\omega}$代表位移电流的贡献，它能引起电磁波功率的耗散,$\frac{\sigma}{\omega}$代表传导电流的贡献，它能引起电磁波功率的耗散,D
