question,answer,type
为了（），通常采用环网供电。 A.使运行调度方便 B.使供电可靠性提高 C.使投资达到最小 D.以上都不对,B,单选
只适应于线性电路求解的方法是（） A.弥尔曼定理 B.戴维南定理 C.叠加定理 D.大数定理,C,单选
衡量电能质量的技术标准是( )。  A.电压偏移、频率偏移、网损率 B.电压偏移、频率偏移、波形畸变率 C.厂用电率、燃料损耗率、网损率 D.厂用电率、网损率、电压畸变率,B,单选
感应电动势被认为是（）。 A.感应 B.电容 C.电阻 D.无法确定,A,单选
当施加的电压最大时，电感电路中的电流是多少？ A.无穷大 B.最大值 C.零 D.无法确定,C,单选
电容器以（）方式充电和放电。 A.线性 B.常数 C.平方 D.指数,D,单选
为了获得最大电动势，θ 应该是多少？ A.00 B.900 C.1800 D.450,B,单选
计算机解潮流方程时，经常采用的方法是( )。  A.回归法 B.替代法 C.递推法 D.迭代法,D,单选
如果磁场中粒子的净力为零，速度与磁场之间的关系是什么？ A.v=E*B B.v=E/B C.v=B/E D.v=1/(E*B）,B,单选
KYN**-10型高压开关柜静触头盒的作用是（）。 A.保证各功能小室的隔离 B.作为静触头的支持件 C.既保证各功能小室的隔离又作为静触头的支持件 D.以上都不对,C,单选
当源电阻（）负载电阻时，向电路输送的功率最大。 A.大于 B.等于 C.小于 D.大于或等于,B,单选
在应用于住宅小区的环网柜中，通常采用（）控制高压电路。 A.真空断路器或负荷开关 B.真空断路器或真空接触器 C.负荷开关或真空接触器 D.以上都不对,C,单选
当板的横截面积增加时，板之间的力会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,A,单选
当线圈在磁场中旋转时，线圈中会产生感应电动势吗？ A.是最大值 B.是最小值 C.连续变化 D.保持恒定,C,单选
校验电气设备的动稳定性时，应采用安装处三相短路电流冲击值，当短路点附近所接电动机额定电流之和超过短路电流( )时，应计入电动机反馈电流的影响。  A.1% B.3% C.5% D.7%,A,单选
在大负荷时，提高中枢点的电压；在小负荷时，适当降低中枢点的电压。属于( )。  A.顺调压 B.常调压 C.逆调压 D.以上都不对,C,单选
距长导线 选项D 距离处的磁场，由于其中有电流 i，产生的磁场为（） A.µ0i/2r B.µ0i/r C.µ0i/2πr D.µ0i/πr,C,单选
当温度升高超过居里温度时，铁磁材料的相对磁化率如何？ A.增加 B.减少 C.保持不变 D.变为零,B,单选
理想耦合时的耦合系数是多少？ A.0 B.100 C.1 D.提供的信息不足,C,单选
电压互感器低压侧两相电压降为零、一相正常、一个线电压为零，则说明( )  A.低压侧两相熔断器熔断 B.低压侧一相熔丝断 C.高压侧一相熔丝断 D.高压侧两相熔丝断,A,单选
电场起源于（） A.正电荷 B.负电荷 C.既不正也不负 D.既正又负,A,单选
10kV线路的平均额定电压为( )。  A.10kV B.llkV C.10.5kV D.12kV,C,单选
下列电路不属于频谱搬移电路的是（） A.调幅电路 B.调频电路 C.检波电路 D.变频电路,B,单选
关于各种电压等级在输配电网络中的应用，下述说法中错误的是（    ）。 A.交流500kv通常用于区域电力系统的输电网络 B.交流220kv通常用于地方电力系统的输电网络 C.交流35kv及以下电压等级通常用于配电网络 D.除10kv电压等级用于配电网络外，10kv以上的电压等级都只能用于输电网络。,D,单选
对于两端供电网，如果两个电源点i、j的电压完全相等，那么线路中的初步功率( )。  A.不需考虑循环功率 B.需叠加由节点i流向节点j的循环功率 C.需叠加由节点j流向节点i的循环功率 D.等于零,A,单选
电容的单位是（） A.伏特 B.法拉 C.亨利 D.牛顿,B,单选
架空输电线路的电纳和导线之间几何平均距离的关系为( )  A.几何平均距离越大，电纳越大 B.几何平均距离越大，电纳越小 C.几何平均距离大小与电纳无关 D.改变导线之间的几何平均距离可以明显改变线路的电纳,B,单选
在直流电下，电容器充当（） A.开路 B.短路 C.电阻 D.电感,A,单选
下列哪项是阻抗的正确表达方式？ A.Z=Y B.Z=1/Y C.Z=Y2 D.Z=1/Y2,B,单选
当电容器两端的电压增加时，电容会发生什么变化？ A.减少 B.增加 C.变为 0 D.无影响,D,单选
隔离开关可以拉、合电压互感器与（）回路。 A.短路 B.电流互感器 C.避雷器 D.以上都不对,C,单选
动态元件的初始储能在电路中产生的零输入响应中（） A.仅有稳态分量 B.仅有暂态分量 C.既有稳态分量，又有暂态分量 D.稳态分量和暂态分量都没有,B,单选
产生的电动势波形在什么时候经历一个完整的周期？ A.导体经过北极 B.导体经过南极 C.导体经过北极和南极 D.导体静止,C,单选
下列哪项是 φ 的正确表达式。 A.φ=tasn-1(XL/R) B.φ=tan-1(R/XL) C.φ=tan-1(XL*R) D.φ=cos-1(XL/R),A,单选
求相对介电常数=5、n=3、A=4m 2且D=2m的多极板电容器的电容。 A.1.77*10-10F B.1.77*1010F C.1.77*10-11F D.1.77*1011F,A,单选
如果垂直于载流导体的磁场强度为100T，导体长度为3m，导体中的电流为10，计算垂直于电场的力的大小。 A.300N B.30N C.30kN D.3kN,D,单选
如果磁通密度为4*piT，则计算磁场强度（）。 A.10-7/16*pi2A/m B.10-7A/m C.107A/m D.10-7A,C,单选
计算电感为 4000 H、匝数为 200、电流从 5A 变化到 7A 的电感器的磁通变化。 A.20 WB B.40 WB C.60 WB D.80 WB,B,单选
当材料长度增加时，磁阻会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,A,单选
架空输电线路采用分裂导线的目的是（    ）。 A.减小线路电抗 B.增大线路电纳 C.减小线路电阻 D.改善输电线路的电晕条件。,A,单选
500kV系统的平均额定电压为( )。  A.525kV B.520kV C.515kV D.500kV,A,单选
相量冻结在 30 度，求相角值。 A.30 度 B.60 度 C.120 度 D.180 度,A,单选
并联于大电网上的同步发电机，当电流落后于电压运行时，若逐渐增大励磁电流，则电枢电流 () A.渐大 B.减小 C.先增大后减小 D.先减小后增大,A,单选
电阻电路中瞬时电流的正确表达式是？ A.i=Vm(sint)/R B.i=Vm(cost)/R C.i=V(sint)/R D.i=V(cost)/R,A,单选
当电路中电流的参考方向与电流的真实方向相反时，该电流（ ） A.一定为正值 B.一定为负值 C.不能肯定是正值或负值 D.为0,B,单选
环网柜高压母线的截面要根据（）选择。 A.本配电所负荷电流 B.环网穿越电流 C.本配电所负荷电流与环网穿越电流之和 D.以上都不对,C,单选
隐极同步发电机静态稳定运行极限对应的功率角为() A.0度 B.75度 C.90度 D.180度,C,单选
供电可靠性是指供电企业某一统计期内对用户停电的（）。 A.时间 B.次数 C.时间和次数 D.以上都不对,C,单选
电网中无功功率的流向是( )。  A.从电压高的节点流向电压低的节点 B.从电压低的节点流向电压高的节点 C.从相位超前相流向相位滞后相 D.从相位滞后相流向相位超前相,A,单选
电抗、电阻、阻抗之间有什么关系？ A.Z=R+jX B.Z=R+X C.Z=RX D.Z=R-jX,A,单选
tanφ什么时候为正值？ A.当感抗小于容抗时 B.当感抗大于容抗时 C.当感抗等于容抗时 D.当感抗为零时,B,单选
( )不可以提高系统静态稳定性。  A.采用分裂导线 B.系统中设置无功补偿装置 C.改变变压器的分接头 D.快速控制调速汽门,D,单选
KCL 应用于（） A.环路 B.节点 C.环路和节点 D.既不是环路也不是节点,B,单选
在调谐放大器的 LC 回路两端并上一个电阻 R，可以 （ ） A.提高回路的 Q 值 B.提高谐振频率 C.加宽通频带 D.减小通频带,C,单选
利用对称分量法分析不对称短路时，基准相的选择原则是( )。  A.选择特殊相为基准相 B.选择A相为基准相 C.选择B相为基准相 D.选择C相为基准相,A,单选
同步电动机的负载减少时，其转速（  ），功率角（    ）。 A.上升，上升 B.下降，下降 C.不变，下降 D.上升，不变,B,单选
调幅、检波和混频电路的实质都是（）。 A.频谱的非线性搬移 B.频谱的线性搬移 C.相位变换 D.以上三种均可,B  ,单选
电力系统潮流计算采用的数学模型是（    ）。 A.节点电压方程 B.回路电流方程 C.割集方程 D.支路电流方程。,A,单选
在阻抗并联网络中，无功元件将使电压（）90 度。  A.超前 B.滞后 C.超前或滞后 D.取决于电路,C,单选
异步电动机空载电流比同容量变压器大的原因是 () A.异步电动机的损耗大 B.异步电动机是旋转的 C.异步电动机有气隙 D.异步电动机的漏抗大,C,单选
当极板横截面积减小时，多极板电容器的电容会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,B,单选
当线圈内的磁铁加速时，线圈中的电流会发生什么变化？ A.增加 B.减少 C.保持不变 D.反转,A,单选
电力系统中所用的阻抗指的是( )。  A.一相等值阻抗 B.两相阻抗 C.三相阻抗 D.四相阻抗,A,单选
电力系统静态稳定性是指（    ）。 A.正常运行的电力系统受到小干扰作用后，不发生自发振荡或失步，自动恢复到初始运行状态的能力 B.正常运行的电力系统受到小干扰作用后，保持同步运行的能力 C.正常运行的电力系统受到大干扰后，保持同步运行的能力 D.正常运行的电力系统受到打干扰作用时，不发生自发震荡和失步，自动恢复到初始运行状态的能力。,A,单选
列网孔方程时，要把元件和电源变为()才列方程式。 A.电导元件和电压源 B.电阻元件和电压源 C.电导元件和电流源 D.电阻元件和电流源,B,单选
品质因数也称为（）。 A.电压放大倍数 B.电流放大倍数 C.电阻放大倍数 D.阻抗放大倍数,A,单选
不通过电池的电子流称为（） A.传导电流 B.漏电流 C.充电电流 D.位移电流,A,单选
频率的二次调整是由( )。  A.发电机组的调速系统完成的 B.负荷的频率特性来完成 C.发电机组的调频系统完成的 D.有功功率的经济分配完成的,C,单选
下列选项中，属于工业企业负荷计算常用方法的是( )。  A.利用系数法 B.逐点计算法 C.需用系数法 D.单位面积瓦特法,C,单选
下列哪项是电通量密度的正确表达式？ A.D=ε*E B.D=ε/E C.D2=ε*E D.D=ε*E2,A,单选
对于两相短路接地，其复合序网的连接是( )。  A.正序和负序并联 B.正序负序零序串联 C.正序负序零序并联 D.负序和正序并联在和零序串联,C,单选
目前，我国运行最高交流电网额定电压等级为( )。  A.500kV B.750kV C.800kV D.1000kV,D,单选
施加在导体上的力为10N，如果导体中的电荷为5选项C，则电场强度是多少？ A.10V/m B.2V/m C.3V/m D.15V/m,B,单选
以下几种混频器电路中，输出电流频谱最纯净的是（ ） A.模拟乘法器混频器 B.三极管混频器 C.场效应管混频器 D.二极管混频器,A,单选
有三绕组变压器的容量比为：100/100/50，且ΔPk(1-3)=18kW（未归算）则归算到高压绕组容量下的短路损耗为( )K.W。  A.18 B.36 C.54 D.72,D,单选
电力系统发生三相短路，短路电流中非周期分量( )。  A.保持初始值不变 B.按指数形式衰减 C.按指数形式增大 D.三相相等,B,单选
在交流电路中，电阻 50 Ω、电感 0.3 H、电容 15 μF 连接到交流电压源 25 V、50 Hz。确定电路中的阻抗。 A.110 欧姆 B.100 欧姆 C.125 欧姆 D.140 欧姆,C,单选
电力电子变流装置按变流种类可分为( )。  A.电动机、电源装置和控制装置3部分 B.汞弧整流器装置、普通晶闸管装置和新型自关断器件装置 C.母线供电装置、机组变流装置及电力电子变流装置3大类 D.整流装置、交流调压装置、变频装置3部分,D,单选
事故备用一般约为最大负荷的( )，但不得小于系统中最大机组容量。  A.2%-5% B.4%-5% C.5%-7% D.5%-10%,D,单选
在串联RLC电路中，电容器两端的电压与电路中的电流之间的相位差是？ A.00 B.900 C.1800 D.3600,B,单选
叠加定理只适用于（ ） A.交流电路 B.直流电路 C.线性电路 D.交流和直流电路,C,单选
16个触发器构成计数器，该计数器可能的最大计数模值是 （ ）。 A.16 B.32 C.16^2 D.2^16,D,单选
高压电容器的熔断器突然熔断时，（）。 A.应立即更换熔断器，恢复送电 B.在查明原因之前，不可更换熔断器 C.可判断为电容器相间短路故障 D.以上都不对,B,单选
一台50HZ、380V感应电动机，若运行于60HZ、380V电网上，当输出功率保持不变时，则同步转速及电机实际转速将() A.增大，减小 B.增大 ，增大 C.减小 ，减小 D.减小 ，增大,B,单选
以下哪些说法是正确的？ A.功率仅与电压成正比 B.功率仅与电流成正比 C.功率既不与电压也不与电流成正比 D.功率与电压和电流均成正比,D,单选
容易让电流通过的材料称为（） A.绝缘体 B.导体 C.电介质 D.半导体,B,单选
电机效应的结果是什么？ A.电流 B.电压 C.电磁感应 D.EMF,C,单选
消弧线圈如果采用全补偿，可能会使系统( )。  A.失去稳定 B.产生谐振 C.接地电流增加 D.保护误动,B,单选
当采用( )类灯具时，灯具的外露可导电部分应可靠接地。  A.Ⅰ B.Ⅱ C.Ⅲ D.Ⅳ,A,单选
如果电压增加，介电强度会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,A,单选
高压电力网中无功功率的流动方向为( )  A.从电压超前的一端向电压滞后的一端 B.从电压滞后的一端向电压超前的一端 C.从电压高的一端向电压低的一端 D.从电压低的一端向电压高的一端,C,单选
在 RLC 电路中，功率因数始终为（）。 A.正 B.负 C.取决于电路 D.零,C,单选
根据弗莱明左手定则，拇指表示？ A.磁场方向 B.电流方向 C.力方向 D.力方向和电流方向,C,单选
如果峰峰值电压为10V，则计算峰值电压。 A.10V B.2V C.4V D.5V,D,单选
一台并励直流发电机，空载运行于某一电压下，如将其转速升高10% 则发电机的端电压将（    ）。 A.升高10% B.不变 C.升高>10% D.升高<10%,D,单选
如果电路中流过两个电流 4+5j，求电路中的总电流。   A.4+5j A B.4A C.5A D.8+10j A,D,单选
电容器不允许（） A.电流 B.电压 C.电阻 D.电感突然变化,B,单选
"图示电网的功率分点为( )  A.（E.▽,c▼） B.（d▽,e▼ ） C.（c▽,d▼） D.（c▼,d▽）",C,单选
电容器并联在系统中，它发出的无功功率与并联处的电压( )  A.一次方成正比 B.平方成正比 C.三次方成正比 D.无关,B,单选
电容器中的电流和电压之间有什么关系？ A.I=1/*积分(Vt) B.I=V/t C.I=1/V/t D.I=t,B,单选
电力系统潮流计算时，平衡节点的待求量是（    ）。 A.节点电压大小和节点电压相角 B.节点电压大小和发电机无功功率 C.发电机有功功率和无功功率 D.节点电压相角和发电机无功功率。,C,单选
如果线圈 1 的磁链为 3WB，匝数为 500，线圈 2 的电流为 2A，则计算互感。 A.750H B.500H C.450H D.900H,A,单选
一般情况，线路的负序电抗与正序电抗的大小关系为( )。  A.正序电抗大于负序电抗 B.正序电抗等于负序电抗 C.正序电抗小于负序电抗 D.不确定,B,单选
如果2秒内电流从5A变为3A，电感为10H，计算电动势。 A.5V B.10V C.15V D.20V,B,单选
一根横截面积=10平方米的电线和另一根横截面积=15平方米的电线，具有相同的长度和相同的材料。哪根线的电阻更大？ A.两者具有相等的电阻 B.10 平方米导线的电阻较高 C.15 平方米导线的电阻较高 D.无法从给定数据确定电阻值,B,单选
如果磁场、导体长度和速度都相互垂直，感应电动势的公式为（） A.emf=B2l B.emf=Bil C.emf=Blv D.emf=B2v,C,单选
在 RLC 系列相量中，我们从哪个量开始绘制相量？ A.电压 B.电阻 C.阻抗 D.电流,D,单选
一个半断路器接线，特别适用于（ ）及以上的超高压、大容量系统中。 A.110kV B..220kV C.330kV D.500kV,C,单选
在空载电动势Eq保持不变的情况下，隐极机的最大电磁功率出现在( )。  A.δ=90度 B.δ=180度 C.δ<90度 D.δ>90度,A,单选
如果材料的介电强度为 4MV/m，电位差为 28MV，则计算该材料的厚度。 A.4m B.7m C.5m D.11m,B,单选
电容器中的电流（）串联 RLC 电路中低于谐振频率的电压。 A.超前 B.滞后 C.等于 D.取决于电路,A,单选
实现信息的传送和处理的电路称为()电路 A.电工 B.电子 C.强电 D.弱电,B,单选
当带宽增加时，品质因数会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,B,单选
当电感器中引入铁磁芯时，磁通与磁化电流之间的关系是什么？ A.正比 B.反比 C.不成比例 D.电流是磁通的两倍,C,单选
500kV系统中性点运行方式经常采用( )。  A.不接地 B.直接接地 C.经电抗接地 D.经电阻接地,B,单选
弹道检流计通常有轻微阻尼，因此（）。 A.它可以振荡 B.它将保持稳定 C.第一次摆动的幅度很大 D.第一次摆动的幅度很小,C,单选
在串联RLC电路中，电阻两端的电压与电路中的电流之间的相位差是？ A.00 B.900 C.1800 D.3600,A,单选
实际上，如果向设备提供 10kJ 的能量，设备会回馈多少能量？ A.等于 10kJ B.小于 10kJ C.大于 10kJ D.零,B,单选
在（）电路中，总电阻小于电路中的最小电阻。 A.串联 B.并联 C.串联或并联 D.既不是串联也不是并联,B,单选
变压器的电抗参数XT由实验数据( )确定。  A.ΔPK B.ΔP0 C.U.K.% D.I.0%,C,单选
最大负荷时，允许电压中枢点电压略低，最小负荷时允许电压中枢点略高，这种调压方式为( )。  A.顺调压 B.逆调压 C.常调压 D.恒调压,A,单选
最大负荷时允许电压中枢点的电压适当下降，最小负荷时允许电压中枢点的电压适当升高，这种调压方式是（     ）。 A.、顺调压方式 B.逆调压方式 C.恒调压方式 D.常调压方式。,D,单选
在多级电压环网中必然有( )接入P62  A.串联变压器 B.并联变压器 C.串联电抗器 D.串联电容器,A,单选
电力系统无功不足时，会造成( )。  A.频率升高 B.频率降低 C.电压升高 D.电压降低,D,单选
利用特高压输电技术，实现远距离、大规模的电力输送，有利于减少电力损耗、节约土地资源、保护环境、节约投资，促进我国（）基地的集约化开发。 A.大电网、大机组、大用户 B.大煤电、大水电、大核电 C.大电网、大火电、大水电 D.大能源、大容量、大用户,B,单选
倒闸操作票执行后，必须（）。 A.保存至交接班 B.保存三个月 C.长时间保存 D.以上都不对,B,单选
源变换是（） A.单边 B.双边 C.唯一 D.无法确定,B,单选
各配电柜上设备装设高度横向应整齐一致，避免在配电柜后装设继电器。各配电柜上信号继电器宜集中布置，安装水平高度应一致，其安装中心线离地面不宜低于( )。  A.700mm B.600mm C.500mm D.400mm,B,单选
正交分量又称为？ A.有源成分 B.无功成分 C.有源或无功成分 D.既不是有源成分也不是无功成分,B,单选
如果电容器中的电荷为 4选项C，存储的能量为 4J，则求电容值。 A.2F B.4F C.8F D.16F,A,单选
三相架空线导线换位的目的是( )。  A.使三相导线张力相同 B.使换位杆塔受力均匀 C.使三相导线长度相同 D.减小三相参数不平衡,D,单选
随着磁场强度的增加，磁阻如何？ A.增加 B.减少 C.保持不变 D.变为零,A,单选
如果导体电流增加，对力有何影响？ A.增加 B.减少 C.保持不变 D.变为零,A,单选
对于 JK 触发器，无论其原处何态，只要（）相同，则所需激励相同。 A.现态 B.次态 C.输入 D.输出,B,单选
SF6气体具有较高绝缘强度的主要原因之一是（）。 A.无色无味性 B.不燃性 C.无腐蚀性 D.电负性,D,单选
两个电阻串联，R1：R2=1：2，总电压为60V，则U1的大小为() A.10V B.20V C.30V D.40V,B,单选
变压器的电纳参数B.T 由实验数据( )确定。  A.ΔPK B.ΔP0 C.U.K.% D.I.0%,D,单选
开关电器中，利用电弧与固体介质接触来加速灭弧的原理主要是（）。 A.使电弧长度迅速增大 B.使电弧表面积迅速增大 C.使电弧温度迅速降低 D.以上都不对,C,单选
电力系统电压的单位常采用( )  A.W B.KV C.A D.Ω,B,单选
变压器中性点经小电阻接地在提高电力系统并列运行暂态稳定性方面的作用是（    ）。 A.提高电力系统在电力系统三相短路情况下的暂态稳定性 B.提高电力系统在电力系统两相短路情况下的暂态稳定性 C.提高电力系统在发生接地短路情况下的暂态稳定性 D.提高电力系统在相间短路情况下的暂态稳定性。,C,单选
下列哪一个没有单位？ A.绝对介电常数 B.相对介电常数 C.实际介电常数 D.绝对介电常数和相对介电常数,B,单选
一台三相异步电动机运行在s=0.02时，则由定子通过气隙传递给转子的功率中有 () A.2%是电磁功率 B.2%是机械功率 C.2%是机械损耗 D.2%是转子铜耗,D,单选
实际电介质中的自由电子是由于（） A.没有自由电子 B.导体 C.杂质 D.位移电流,C,单选
如果电场强度为1V/m，自由空间中的电通量密度是多少？ A.7.76*10-12C/m2 B.8.85*10-12C/m2 C.1.23*10-12C/m2 D.3.43*10-12C/m2,B,单选
电力系统同一点发生不同类型短路故障时，按照故障处正序电压从高到低的短路类型排列顺序是（    ）。 A.三相短路、两相短路、两相短路接地、单相接地短路 B.、单相接地短路、两相短路、两相短路接地、三相短路 C.两相短路接地、两相短路、单相接地短路、三相短路 D.两相短路、两相短路接地、单相接地短路、三相短路。,B,单选
米里型时序逻辑电路的输出是（）。 A.只与输入有关 B.只与电路当前状态有关 C.与输入和电路当前状态均有关 D.与输入和电路当前状态均无关,C,单选
断路器（）后，应立即进行巡视检查。 A.正常合闸 B.正常分闸 C.重合闸成功 D.以上都不对,C,单选
磁阻的倒数为（） A.磁导 B.磁化率 C.电阻 D.电导,A,单选
串联一个7欧姆的电阻和一个31.8mH的电感。该电路连接到 100V 50Hz 正弦电源。计算电感器两端的电压。 A.52V B.82V C.65V D.76V,B,单选
计算C=1.77*10 -10F相对介电常数=5、A=4m2且D=2m的多极板电容器中的极板数量。 A.1 B.2 C.3 D.4,C,单选
三相异步电动机定子通入频率为f的电流，当转子不动时，其转子频率f为 () A.f=f B.f=0 C.f＜f D.f＞f,A,单选
三相短路的附加电抗等于( )。  A.0 B.负序电抗串联零序电抗 C.负序电抗 D.负序电抗并联零序电抗,A,单选
对于电感电路，频率是电感的（）。 A.正比 B.反比 ：不相关 C.远大于 D.以上都不对,B,单选
下列哪一个是感应电动势的公式？ A.e=D Φ /Dt B.e=Dt/D Φ C.e=t*Φ D.e=t2Φ,A,单选
对于非常低的频率，电容器充当（） A.开路 B.短路 C.放大器 D.整流器,A,单选
当故障切除角( )极限切除角，系统具有暂态稳定性。  A.大于 B.小于 C.相等 D.不确定,B,单选
