question,answer,type
对于含有约束项的逻辑函数，用卡诺图化简时，任意项（ ）处理。 A.必须当作 0 B.必须当作 1 C.方便化简时当作 1，不方便化简时当作 0 D.以上都不正确,C,单选
根据弗莱明右手定则，拇指指向？ A.电流 B.电动势 C.导体的运动 D.磁通量,C,单选
在串联RLC电路中，电容器两端电压和电感两端电压之间的相位差是？ A.00 B.900 C.1800 D.3600,C,单选
下列哪项是电场的正确表达方式？ A.E=F/C B.E=F*C C.E=F/Q D.E=F*Q,C,单选
短路冲击电流主要是检验电气设备和载流导体的( )。  A.动稳定性 B.热稳定性 C.机械效应 D.电流效应,A,单选
2库仑的电荷由多少个电子组成？ A.6.24 * 1018 个电子 B.12.48 * 1018 个电子 C.1.602 * 1019 个电子 D.3.204 * 1019 个电子,B,单选
中性点不直接接地系统的输电线路的干扰计算应符合以下( )项规定。  A.考虑多条输电线路的合成干扰影响 B.对音频双线电话的干扰影响应按输电线路正常运行状态计算，同时应考虑输电线路基波和谐波电压的感应影响 C.对音频双线电话的干扰影响应按输电线路单相接地短路故障状态计算，同时应考虑输电线路基波和谐波电压的感应影响 D.对线-地电报回路的干扰影响应按输电线路单相接地短路故障状态计算，同时应考虑输电线路基波电流、电压的感应影响,C,单选
架空输电线路的电纳和导线之间几何平均距离的关系为（     ）。 A.几何平均距离越大，电纳越大 B.几何平均距离越大，电纳越小 C.输电线路的电纳与几何平均距离无关 D.改变导线之间的几何平均距离可以明显改变线路的电纳。,B,单选
降压变压器一次侧的额定比线路的额定电压高( )。  A.5% B.10% C.相等 D.不确定,C,单选
若他励直流发电机额定点时转速升高20%，则空载时发电机的端电压将升高 () A.小于20% B.20% C.大于20% D.40%,A,单选
要增加并联在电网上运行的发电机的有功输出，可以 () A.增加励磁电流使E增加 B.增加原动机的动力因素，使功角增加 C.减小励磁电流使E减小 D.加快原动机转速使n＞n,B,单选
机器必须具有的最小极数（）。 A.1 B.2 C.4 D.10,B,单选
有功功率的单位是( )。  A.kV B.kW C.kVA D.kVar,B,单选
大扰动后，采取电气制动的主要目的是为了提高系统的( )。  A.暂态稳定 B.静态稳定 C.电压稳定 D.经济性,A,单选
系统参数在某一平均值附近做微小变化时，系统状态变量在某组平均值附近微小波动，此时的电力系统运行状态属于（    ）。 A.稳态运行 B.电磁暂态过程 C.机电暂态过程 D.波过程。,A,单选
当线圈1和线圈2的磁链增加时，耦合系数会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,A,单选
实际电介质中的自由电子是由于（） A.没有自由电子 B.导体 C.杂质 D.导体和杂质,C,单选
下面电压序列完全属于电力线路额定电压的一组是( )。  A.500kV，230kV，12lkV，37kV，10.5kV B.525kV，230kV，115kV，37kV，10.5kV C.525kV，242kV，12lkV，38.5kV，11kV D.500kV，220kV，ll0kV，35kV，l0kV,D,单选
星形连接也称为（） A.Y 形连接 B.网状连接 C.Y 形连接或网状连接 D.既不是 Y 形连接也不是网状连接,A,单选
任何情况下电容器中存储的最大静电能量是？ A.CVm2 B.1/2*CVm2 C.CVm D.CVm/2,B,单选
介电强度的单位为（） A.V/m2 B.MV/m2 C.MV/m D.Vm,C,单选
对于同步检波器，同步电压与载波信号的关系是（  ） A.同频不同相 B.同相不同频 C.同频同相 D.不同频不同相,C,单选
当电源频率增加时，电路中的容抗会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,B,单选
以下设备均可作为无功电源使用的是( )  A.发电机、变压器、调相机 B.调相机、电容器、调速器 C.静止补偿器、电容器、发电机 D.以上都不对,C,单选
FN3-10R/400型负荷开关的灭弧装置由（）构成。 A.绝缘气缸和喷嘴 B.真空灭弧室 C.SF6灭弧室 D.以上都不对,A,单选
架空线路用来传输电能的元件是( )。  A.导线 B.杆塔 C.金具 D.避雷线,A,单选
深槽和双笼感应电机的共同特点是() A.改善运行特性 B.改善起动特性 C.提高效率 D.没有共同点,B,单选
"用于连接110kV和35kV两个电压等级的降压变压器，其两侧绕组的额定电压应为( )。  A.110kV,35kV B.110kV,37kV C.110kV,38.5kV D.121kV,38.5kV",C,单选
去掉电源后，电容器会发生什么变化？ A.它将不会保持在充电状态 B.它将保持在充电状态 C.将开始放电 D.将变为零,B,单选
通常绘制相量图代表什么？ A.有效值 B.峰值 C.平均值 D.瞬时值,A,单选
关于电力系统频率的调整，下述说法中错误的是（     ）。 A.电力系统频率调整的基本原理是根据电力系统有功负荷的变化，改变发电机的有功出力，维持电力系统在所要求频率下的有功功率平衡 B.电力系统频率的一次调整是针对第一类负荷变化进行的，它通过发电机组装设的调速器来实现，但一次调整不能实现频率的无差调节 C.电力系统频率的二次调整结束后，不管频率是否回到负荷变化前的数值，负荷的变化量均为调频机组所承担 D.在无差调节方式下，二次调整结束后，负荷的变化全部为调频机组所承担。,C,单选
在交流电路中，电阻 50 Ω、电感 0.3 H、电容 15 μF 连接到交流电压源 25 V、50 Hz。确定电路中的容抗。 A.316 欧姆 B.195 欧姆 C.124 欧姆 D.212 欧姆,D,单选
电容器可以存储哪种类型的电流？ A.交流电 B.直流电 C.交流电和直流电 D.既不是交流电也不是直流电,B,单选
空载线路合闸的时候，可能产生的最大过电压为() A.1.5 B.2 C.3 D.4,C,单选
一台三相异步电动机运行在s=0.02时，则由定子通过气隙传递给转子的功率中有() A.2%是电磁功率 B.2%是机械功率 C.2%是机械消耗 D.2%是转子消耗,,单选
在任何情况下，电感器中存储的最大磁能是？ A.E=LIm2/2 B.E=LIm/2 C.E=LIm2 D.E=LIm2*2,A,单选
静电场中，点电荷所产生的电场强度的大小与场点到点电荷的距离大小（ ）  A.成正比 B.成反比 C.平方成正比 D.平方成反比,D,单选
正常情况下全变电站停电操作时，应（）。 A.先拉开高压电容器支路断路器，再拉开其他各支路断路器 B.先拉开其他各支路断路器，再拉开高压电容器支路断路器 C.同时来开高压电容器支路及其他各支路断路器 D.以上都不对,A,单选
求在 8T 磁场中以 0.4m/s 速度运动的导体的长度，如果磁场、速度和导体长度相互垂直，则感应出 20V 的电动势。 A.50m B.5m C.6.25m D.0.5m,C,单选
KCL 可应用于（） A.平面网络 B.非平面网络 C.平面和非平面 D.既不是平面也不是非平面,C,单选
下列哪项是表示导纳的正确表达方式？ A.Y=Z B.Y=1/Z C.Y=Z2 D.Y=1/Z2,B,单选
金属平行板电容器的直径为 100mm，极板之间的距离为“A”mm。电容器放置在空气中。每块板上的力为 0.035N，板之间的电位差为 1kV。发现。 A.1m B.1Cm C.10Cm D.1mm,D,单选
计算存储 40μC 电荷且电压为 2V 的电容器的电容。 A.20F B.20μF C.10F D.10μF,B,单选
南极的磁力线（）。 A.出现 B.收敛 C.既不出现也不收敛 D.要么出现要么收敛,B,单选
多级电压环网的循环功率( )  A.小于零 B.等于零 C.大于零 D.不确定,D,单选
装设自动重合闸是让最大可能的减速面积( )。  A.减小 B.增加 C.不变 D.不确定,B,单选
在实际振荡器中，有时会出现不连续的振荡波形，这说明振荡器产生了周期性的起振和停振现象，这种现象称为（）。 A.频率占据 B.间歇振荡 C.寄生振荡 D.振荡调整,B,单选
如果 4 欧姆、3 欧姆和 2 欧姆电阻以三角形连接，请找到等效的星形连接。  A.8/9 欧姆、4/3 欧姆、2/3 欧姆 B.8/9 欧姆、4/3 欧姆、7/3 欧姆 C.7/9 欧姆、4/3 欧姆、2/3 欧姆 D.8/9 欧姆、5/3 欧姆、2 /3欧姆,A,单选
要求本振信号功率大，相互影响小，放大倍数大，宜采用（ ）混频电路 A.基极输入，发射极注入 B.基极输入，基极注入 C.发射极输入，基极注入 D.发射极输入，发射极注入,A,单选
计算速度为10m/s、长度为3m、磁场密度为5T 时的最大电动势。 A.150V B.100V C.300V D.0V,A,单选
采用分裂导线可以实现( )。  A.减小电抗 B.增大电阻 C.减小电纳 D.增大电抗,A,单选
对于有人值班的变电站，每天对断路器的巡视不得少于（）次。 A.1 B.12 C.24 D.以上都不对,A,单选
下面能够提高三相短路情况下电力系统并列运行暂态稳定性的一组措施是（    ）。 A.快速切除故障、快速关闭汽轮发电机气门、变压器中性点经小电阻接地 B.快速切除故障、线路装设重合闸、变压器中性点经小电阻接地 C.快速切除故障、快速关闭汽轮发电机气门、线路装设重合闸 D.快速切除故障、变压器中性点经小电阻接地、发电机装设强励装置。,C,单选
变压器负载运行时与空载运行时相比，变比() A.变大 B.变小 C.相等 D.基本不变,C,单选
电力系统的横向故障指的是( )。  A.短路故障 B.断线故障 C.系统振荡 D.过载,A,单选
关于短路故障时正序电压、负序电压和零序电压的分布，下述说法中正确的是( )。  A.故障处正序电压、负序电压和零序电压均最高 B.发电机机端正序电压、负序电压、零序电压均为最高 C.发电机机端正序电压最高、短路点负序电压和零序电压最高 D.发电机中性点负序电压和零序电压最高，正序电压最低。,C,单选
负荷功率大于电源功率时，系统频率将( )。  A.上升 B.下降 C.不变 D.以上都不对,B,单选
电力系统中PQ节点的数量（　） A.全都是 B.大量的 C.少量的 D.必有且一般只设一个,B,单选
下列表述中，对波阻抗描述不正确的是()。 A.波阻抗是前行波电压与前行波电流之比 B.对于电源来说波阻抗与电阻是等效的 C.线路越长，波阻抗越大 D.波阻抗的大小与线路的几何尺寸有关,C,单选
逆调压是指( )。  A.最大负荷时，将电压中枢点电压升高，低谷负荷时将其降低 B.最大负荷时，将电压中枢点电压降低，低谷负荷时将其升高 C.最大负荷时和低谷负荷时将其降低 D.最大负荷时和低谷负荷时将其升高,A,单选
电容器三相间的容量应平衡，其误差不应超过一相总容量的（）。 A.2% B.5% C.10% D.以上都不对,B,单选
8微法电容与0.5兆欧电阻串联。直流电源电压为200V。计算电容器两端的电位差达到 160V 所需的时间。 A.6.93s B.7.77s C.2.33s D.3.22s,A,单选
越靠近电源点负序电压越(    ) A.低 B.高 C.不变 D.无法确定,A,单选
最大功率传输是否意味着最高效率？ A.是 B.否 C.有时 D.无法确定,B,单选
电力系统稳定分析的最终目的是（     ）。 A.求发电机转子摇摆曲线，并根据摇摆曲线判断系统运行的稳定性 B.求发电机的功角特性曲线，并根据发电机的功角特性曲线判断系统运行的稳定性 C.求发电机定子电流的变化曲线，并根据电流变化曲线判断系统运行的稳定性 D.求发电机机端电压变化曲线，并根据电压变化曲线判断电力系统运行的稳定性。,A,单选
若选取系统基准容量为100MVA，基准电压为100kV，那么标幺值为0.2的电抗有名值是( )  A.20 B.0.2 C.0.002 D.1,A,单选
磁滞损耗由（）确定。 A.B/H 曲线 B.H/B 曲线 C.BH 曲线 D.B2H 曲线,A,单选
RGCC型高压开关柜中三工位开关的3个工位是（）。 A.关合/隔离/试验 B.关合/试验/接地 C.关合/隔离/接地 D.以上都不对,C,单选
运用运算曲线法计算任意时刻短路电流周期分量有效值时，对于负荷的处理方法是（   ）。 A.不考虑负荷的影响 B.需要考虑负荷的影响 C.仅需要考虑短路点附近大容量电动机的影响 D.需要部分考虑负荷的影响。,A,单选
直流母线的正极相色漆规定为（）。 A.蓝 B.白 C.赭 D.以上都不对,C,单选
在电感电路中，电压（）电流？ A.超前 B.滞后 C.大于 D.小于,A,单选
在下列哪种介质中，电容器极板之间的吸引力更大？ A.空气 B.水 C.与介质无关 D.无法确定,B,单选
根据相对论理论下列说法中正确的个数为，⑴ 时间和空间是运动着的物质存在的形式。⑵ 离开物质及其运动，就没有绝对的时空概念。⑶ 时间不可逆地均匀流逝，与空间无关。⑷ 同时发生的两个事件对于任何惯性系都是同时的。⑸ 两事件的间隔不因参考系的变换而改变。 A.1个 B.2个 C.3个 D.4个,C,单选
架空输电线路的电抗与导线之间几何平均距离的关系为（    ）。 A.、几何平均距离越大，电抗越大 B.几何平均距离越大，电抗越小 C.输电线路的电抗与几何平均距离无关 D.改变导线之间的几何平均距离可以明显改变线路的电抗。,A,单选
当一块磁铁断成两块时，下列哪一项是正确的？ A.磁铁失去磁性 B.磁铁只剩下北极 C.磁铁只剩下南极 D.磁铁变成了两个新的条形磁铁,D,单选
目前使用的某些SF6断路器的检修年限可达（）年以上。 A.20 B.30 C.50 D.以上都不对,A,单选
高压断路器的主要作用是（）。 A.接通和断开电路 B.隔离电压 C.等电位切换电路 D.以上都不对,A,单选
在串联RLC电路中，电容器中的电流和电阻器中的电流之间的相位差是？ A.00 B.900 C.1800 D.3600,A,单选
叠片钢环缠绕200圈。当磁化电流在5A和7A之间变化时，磁通量在760WB和800WB之间变化。计算线圈的电感。 A.40H B.4H C.4000H D.0.004H,C,单选
短路的最大有效值电流主要是检验电气设备和载流导体的( )。  A.断流能力 B.热稳定性 C.机械效应 D.电流效应,A,单选
四个触发器组成的环形计数器最多有（）个有效状态。 A.4 B.6 C.8 D.16,D,单选
高频功率放大器主要工作在 （） A.甲类 B.乙类 C.甲乙类 D.丙类,D,单选
开关时（即t=0 时）电容器两端的电压是多少？ A.无穷大 B.0V C.无法确定 D.1V,B,单选
快速切除故障是让加速面积( )。  A.减小 B.增加 C.不变 D.不确定,A,单选
分析简单系统的暂态稳定性可以应用（　　） A.等耗量微增率准则 B.等面积定则 C.小干扰法 D.对称分量法,B,单选
中性点不直接接地系统，发生单相短路故障，非故障相电压上升为( )  A.√3 倍的线电压 B.√2   倍的线电压 C.√3  倍的相电压 D.√2,C,单选
继电保护装置是由（）组成的。 A.二次回路各元件 B.各种继电器 C.包括各种继电器和仪表回路 D.以上都不对,B,单选
两相短路的附加电抗等于( )。  A.0 B.负序电抗串联零序电抗 C.负序电抗 D.负序电抗并联零序电抗,C,单选
输电线路采用pai等值电路，而不采用型等值电路的目的原因是（    ）。 A.等值电路比型等值电路更精确 B.采用等值电路可以减少电力系统等值电路的节点总数 C.采用等值电路可以增加电力系统的节点总数 D.电力系统运行方式改变时，采用等值电路更方便节点导纳矩阵的修改。,B,单选
螺线管的磁场强度可以通过插入以下哪种材料作为磁芯来增加？ A.铜 B.银 C.铁 D.铝,C,单选
高压断路器具有开断正常负荷和（）的能力。 A.过载 B.过载、短路故障 C.短路故障 D.以上都不对,B,单选
求极板横截面积为 4m2、极板间距为 2m 的电容器的电容。电容器置于真空中。 A.1.77*10-11F B.1.34*10-11F C.2.33*10-11F D.5.65*10-11F,A,单选
自动增益控制简称 （ ） A.AGC B.AFC C.APC D.EDA,A,单选
电容器充电至电压400V，电阻为20ohm。计算充电电流的初始值。 A.10A B.0A C.无穷大 D.20A,D,单选
以下哪个是电感的正确公式？ A.L=emf*t/I B.L=emf/t*I C.L=emf*I/ D.L=emf*t*I,A,单选
用于电能远距离输送的线路为( )。  A.配电线路 B.直配线路 C.输电线路 D.输配电线路,C,单选
如果系统的阻抗为4欧姆，计算其导纳。 A.0.25 欧姆-1 B.4 欧姆-1 C.25 欧姆-1 D.0.4 欧姆-1,A,单选
如果串联 RLC 电路中的谐振频率为 50kHz，带宽为 1kHz，请找出品质因数。 A.5 B.50 C.100 D.500,B,单选
调频厂增加出力，系统频率( )。  A.上升 B.下降 C.不变 D.以上情况都有可能,A,单选
有关复电容率$\varepsilon^{\prime}=\varepsilon+i \frac{\sigma}{\omega}$的描述正确的是 A.$\varepsilon$代表位移电流的贡献，它能引起电磁波功率的耗散 B.$\varepsilon$代表传导电流的贡献，它能引起电磁波功率的耗散 C.$\frac{\sigma}{\omega}$代表位移电流的贡献，它能引起电磁波功率的耗散 D.$\frac{\sigma}{\omega}$代表传导电流的贡献，它能引起电磁波功率的耗散,D,单选
如果具有恒定电感 L 亨利的线圈中的电流以均匀速率增长，则平均电流值为多少？ A.I B.I/2 C.I/4 D.0,B,单选
对于一级负荷比例比较大的电力用户，应采用的电力系统接线方式为（    ）。 A.单电源双回路放射式 B.双电源供电方式 C.单回路放射式接线 D.单回路放射式或单电源双回路放射式。,B,单选
电场终止于（） A.正电荷 B.负电荷 C.既不正也不负 D.既正又负,B,单选
当电容器并联时，有效极板面积会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,A,单选
造成高压电容器组爆炸的主要原因之一是（）。 A.运行中温度变化 B.内部发生过电压 C.内部发生相间短路 D.以上都不对,B,单选
下面所列的电力系统负荷波动中，可以预测的是（    ） A.由用电设备的投入和退出运行所引起的第一类负荷变化 B.由大容量的用电设备投入或退出所引起的第二类负荷变化 C.由生产、生活规律和气象条件变化所引起的第三类负荷变化 D.第一类和第二类负荷变化。,C,单选
冲击电流主要用于检验电气设备和载流导体的( )。  A.热稳定性 B.载流量 C.动稳定性 D.耐压等级,C,单选
某台发电机额定容量400MW，调差系数0.05，则此发电机单位调节功率为( )MW/Hz。  A.200 B.220 C.160 D.$180,C,单选
对于直流电，有效值电流是（）平均电流。 A.大于 B.小于 C.等于 D.不相关,C,单选
新投入运行的断路器，应（）。 A.保持正常巡视周期 B.相对缩短巡视周期 C.相对延长巡视周期 D.以上都不对,B,单选
当加速面积和最大可能的减速面积相等时切除故障此时的功率角称为( )。  A.极限切除角 B.故障切除角 C.功率因数角 D.相角,A,单选
螺线管磁场为18.84mT，单位长度匝数为每米500匝。如果铁芯是空气，请计算电流。 A.300A B.30A C.3A D.300mA,B,单选
当故障切除时间( )极限切除时间，系统具有暂态稳定性。  A.大于 B.小于 C.相等 D.不确定,B,单选
反射阻抗的性质与次级回路总阻抗性质相反的变压器是（） A.空芯变压器 B.理想变压器 C.实际变压器 D.全耦合变压器,A,单选
下列哪项是N匝电感的正确计算公式？ A.L=et/Ni B.L=N*i *e*t C.L=Ni/et D.L=N/iet,A,单选
单相短路的附加电抗等于( )。  A.0 B.负序电抗串联零序电抗 C.负序电抗 D.负序电抗并联零序电抗,B,单选
二极管峰值包络检波器适用于哪种调幅波的解调 （） A.单边带调幅波 B.抑制载波双边带调幅波 C.普通调幅波 D.残留边带调幅波,C,单选
冲击系数kim的数值变化范围是（      ）。 A.0≤kim≤1 B.1≤kim≤2 C.0≤kim≤2 D.1≤kim≤3,B,单选
电容器充电时的初始电流是多少？ A.高 B.低 C.0 D.无法确定,A,单选
SSB信号的检波可采用（ ） A.小信号检波 B.大信号检波 C.同步检波 D.以上三种均可,D,单选
2000mF 电容器充电至 10V 电位差时存储的能量是？ A.100J B.200J C.300J D.400J,A,单选
线圈的电阻为4欧姆，电感为2H。它连接到 20V 直流电源。计算开关闭合后1s的电流值。 A.5.44A B.4.32A C.6.56A D.2.34A,B,单选
网格分析通常用于确定（） A.电压 B.电流 C.电阻 D.功率,B,单选
磁阻的电当量是？ A.电阻 B.电感 C.电容 D.电导,A,单选
在均匀场中，所有点都有（）场强。 A.零 B.相同 C.无穷 D.不同,B,单选
由电容器组成的电路的充电时间常数是指电容器中的电荷达到初始电荷的（）% 所需的时间。 A.33 B.63 C.37 D.36,B,单选
一台并励直流电动机若改变电源极性，则电机的转向（  ），换向极极性（  ）。 A.改变，改变 B.不变，改变 C.改变，不变 D.不变，不变,C,单选
三相导线的几何均距越大，则导线的电抗（） A.越大 B.越小 C.不变 D.无法确定,B,单选
当光伏发电系统设计为不可逆并网方式时，应配置( )。  A.单相关口表 B.逆向功率保护设备 C.单相保护设备 D.频率、电压控制装置,B,单选
对无功不足引起的电压水平偏低的电力系统，应采用的调压措施是( )。  A.改变无载调压变压器变比 B.改变有载调压变压器变比 C.减小发电机无功出力 D.增加无功补偿装置,D,单选
AGC 电路的作用是 （ ） A.维持工作频率稳定 B.消除频率误差 C.使输出信号幅度保持恒定或仅在很小的范围内变化 D.提高效率,C,单选
线圈的电阻为 4 欧姆，电感为 2H。它连接到 20V 直流电源。计算电感两端电压的初始值。 A.5V B.10V C.0V D.20V,D,单选
随着磁通密度的增加，磁阻（） A.增加 B.减少 C.保持不变 D.变为零,B,单选
功率放大电路根据以下哪种说法可分为甲类、甲乙类、乙类、丙类等 （ ） A.电路特点 B.功率放大倍数 C.电流大小 D.功放管静态工作点选择情况,D,单选
在大信号峰值包络检波器中，由于检波电容放电时间过长而引起的失真是（）  A.频率失真 B.惰性失真 C.负峰切割失真 D.截止失真,B,单选
关于电力元件的正序阻抗、负序阻抗和零序阻抗阻抗，下述说法中错误的是( )。  A.静止元件的正序阻抗等于负序阻抗 B.旋转元件的正序阻抗、负序阻抗和零序阻抗严格讲各不相同 C.静止元件的正序阻抗、负序阻抗和零序阻抗都不相同 D.电抗器正序阻抗、负序阻抗和零序阻抗相等,C,单选
如果 1 欧姆、2 欧姆和 32/3 欧姆电阻星形连接，请找到等效的三角形连接。  A.34 欧姆、18.67 欧姆、3.19 欧姆 B.33 欧姆、18.67 欧姆、3.19 欧姆 C.33 欧姆、19.67 欧姆、3.19 欧姆 D.34 欧姆、19.67 欧姆、3.19 欧姆,A,单选
绝缘靴的试验周期是（）。 A.每年一次 B.六个月一次 C.三个月一次 D.以上都不对,B,单选
电阻率的倒数为（） A.电导 B.电阻 C.电导率 D.阻抗,C,单选
关于派克变换，下述说法中错误的是（    ）。 A.派克变换是一种等效变换，其等效体现在变换前后发电机气隙电枢反应磁场不变 B.派克变换将定子三相绕组中的基频周期分量变换为d、q等效绕组中的非周期分量 C.派克变换将定子三相绕组中的非周期分量变换为d、q等效绕组中的周期分量 D.派克变换将定子三相绕组中的周期分量和非周期分量都变换为d、q等效绕组中的非周期分量。,D,单选
位移电流取决于（） A.移动电荷 B.时间变化 C.移动电荷和时间变化 D.移动电荷和时间均不变化,B,单选
直流电机运行在电动机状态时，其 () A.Ea＞U B.Ea＝0 C.Ea＜U D.Ea＝U,C,单选
当电压上升时，白炽灯的（）将下降 A.发光效率 B.光通量 C.寿命 D.以上都不对,C,单选
电力系统的电源单位调节功率KG=1234MW／Hz ，负荷的KL＝ 69MW/H.z。现负荷增加180MW经一次调频后，频率下降了( )。  A.0.138Hz B.0.146Hz C.0.154Hz D.以上都不对,A,单选
RLC电路阻抗的实部是多少？ A.电阻 B.电导 C.导纳 D.电抗,A,单选
随着面积增加，电通量密度会发生什么变化？ A.增加 B.减少 C.保持不变 D.变为零,B,单选
某超外差接收机的中频为 465kHz，当接收 931kHz 的信号时，还收到 1kHz 的干扰信号，此干扰为 （ ） A.干扰哨声 B.中频干扰 C.镜像干扰 D.交调干扰,A,单选
计算时间常数为2s、电阻为5 欧姆的电感电路中的电感。 A.10 小时 B.20 小时 C.5 小时 D.15 小时,A,单选
在场中未偏转的带电粒子上的磁力与电力之比是？  A.1 B.0 C.2 D.4,A,单选
由于相邻线圈中的电流而在一个线圈中产生感应电流的现象是？ A.电磁 B.电纳 C.互感 D.恒定电流,C,单选
电力系统无功过剩时，会造成( )。  A.频率升高 B.频率降低 C.电压升高 D.电压降低,C,单选
无功功率不足的电力系统中，首先应采用的措施是( )  A.改变变压器的变比 B.采用无功补偿装置补偿无功的缺额 C.增加发电机的有功出力 D.调节发电机的励磁电流,B,单选
列网孔方程时，互电阻符号取()，而节点分析时，互电导符号()。 A.流过互电阻的网孔电流方向相同取＋，反之取－;恒取－ B.恒取-;恒取+ C.恒取0;恒取－ D.恒取＋;流过互电阻的网孔电流方向相同取＋,A,单选
正常运行时，电力系统频率的调整的基本原理是( )。  A.根据负荷的变化，调整电力系统中无功电源的出力，将系统频率限制在允许范围内 B.根据负荷的变化，调整发电机的有功出力，将系统频率限制在允许范围内 C.根据系统频率的变化，切除或投入负荷，将电力系统频率限制在允许范围之内 D.根据负荷的变化调整系统中变压器的分接头，将电力系统频率限制在允许范围之内,B,单选
根据弗莱明左手定则，中指表示？ A.磁场方向 B.电流方向 C.力方向 D.力方向和电流方向,B,单选
如果有两个串联的灯泡，其中一个烧坏了，另一个灯泡会怎样？ A.另一个灯泡继续以相同的亮度发光 B.另一个灯泡停止发光 C.另一个灯泡的亮度增加 D.另一个灯泡也烧坏,B,单选
衡量电力系统运行经济性的主要指标是（    ）。 A.燃料消耗率、厂用电率、网损率 B.燃料消耗率、建设投资、网损率 C.网损率、建设投资、电压畸变率 D.网损率、占地面积、建设投资,A,单选
环网潮流的自然功率是按线路的( )来分布的  A.阻抗 B.电抗 C.电阻 D.导纳,A,单选
在110kV～220kV系统中，为绝缘配合许可的相对地操作过电压的倍数为() A.4.0倍 B.3.5倍 C.3.0倍 D.2.75倍,C,单选
潮流计算常用的方法是( )  A.解析法 B.迭代法和牛顿法 C.积分法 D.差分法,B,单选
求出电流最大值为50时带宽范围内的电流值。 A.56.65A B.35.36A C.45.34A D.78.76A,B,单选
隔离开关拉闸应（）。 A.与断路器同时断开 B.在断路器断开前断开 C.在断路器断开后进行 D.以上都不对,C,单选
5A的电流流过 2 欧姆的电阻。计算 300 秒内电阻器消耗的能量。 A.15kJ B.15000kJ C.1500J D.15J,A,单选
选择主调频电厂的条件( )。  A.足够的调频容量 B.快速的调整出力 C.符合安全及经济运行原则 D.系统有足够的无功功率,A、B、C,多选
衡量电能质量的指标包括( )。  A.电压 B.频率 C.电流 D.波形,A、B、D,多选
一次调频调整的是( )的负荷变动引起的频率偏移。  A.周期较短 B.周期较长 C.幅度较小 D.幅度较大,A、C,多选
短路故障使电源供电回路( )。  A.回路的总阻抗不变 B.回路的电流急剧增大 C.回路的总阻抗减小 D.回路的电流急剧减小,B、C,多选
